Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Filename,Paragraph Index,Document
git push my-fork --delete my-fix-branch,0,0,0,0,0,1,angular@flex-layout.xlsx,66,contributing
- Check out the master branch:,0,0,0,0,0,1,angular@flex-layout.xlsx,67,contributing
git checkout master -f,0,0,0,0,0,1,angular@flex-layout.xlsx,68,contributing
- Delete the local branch:,0,0,0,0,0,1,angular@flex-layout.xlsx,69,contributing
git branch -D my-fix-branch,0,0,0,0,0,1,angular@flex-layout.xlsx,70,contributing
- Update your master with the latest upstream version:,0,0,0,0,0,1,angular@flex-layout.xlsx,71,contributing
git pull --ff upstream master,0,0,0,0,0,1,angular@flex-layout.xlsx,72,contributing
Coding Rules,0,0,0,0,1,0,angular@flex-layout.xlsx,73,contributing
"To ensure consistency throughout the source code, keep these rules in mind as you are working:",0,0,0,0,1,0,angular@flex-layout.xlsx,74,contributing
- All features or bug fixes must be tested by one or more specs (unit-tests).,0,0,0,0,1,0,angular@flex-layout.xlsx,75,contributing
- All public API methods must be documented. (Details TBD).,0,0,0,0,1,0,angular@flex-layout.xlsx,76,contributing
"- We follow Google's JavaScript Style Guide, but wrap all code at
100 characters.",0,0,0,0,1,0,angular@flex-layout.xlsx,77,contributing
Commit Message Guidelines,0,0,0,0,0,1,angular@flex-layout.xlsx,78,contributing
"We have very precise rules over how our git commit messages can be formatted.  This leads to more
readable messages that are easy to follow when looking through the project history.  But also,
we use the git commit messages to generate the Angular Flex Layout change log.",0,0,0,0,0,1,angular@flex-layout.xlsx,79,contributing
Commit Message Format,0,0,0,0,0,1,angular@flex-layout.xlsx,80,contributing
"Each commit message consists of a header, a body and a footer.  The header has a special
format that includes a type, a scope and a subject:",0,0,0,0,0,1,angular@flex-layout.xlsx,81,contributing
"<type>(<scope>): <subject>
<BLANK LINE>
<body>
<BLANK LINE>
<footer>",0,0,0,0,0,1,angular@flex-layout.xlsx,82,contributing
The header is mandatory and the scope of the header is optional.,0,0,0,0,0,1,angular@flex-layout.xlsx,83,contributing
"Any line of the commit message cannot be longer 100 characters! This allows the message to be easier
to read on GitHub as well as in various git tools.",0,0,0,0,0,1,angular@flex-layout.xlsx,84,contributing
Revert,0,0,0,0,0,1,angular@flex-layout.xlsx,85,contributing
"If the commit reverts a previous commit, it should begin with revert: , followed by the header of
the reverted commit. In the body it should say: This reverts commit <hash>., where the hash is
the SHA of the commit being reverted.",0,0,0,0,0,1,angular@flex-layout.xlsx,86,contributing
Type,0,0,0,0,0,1,angular@flex-layout.xlsx,87,contributing
Must be one of the following:,0,0,0,0,0,1,angular@flex-layout.xlsx,88,contributing
- feat: A new feature,0,0,0,0,0,1,angular@flex-layout.xlsx,89,contributing
- fix: A bug fix,0,0,0,0,0,1,angular@flex-layout.xlsx,90,contributing
- docs: Documentation only changes,0,0,0,0,0,1,angular@flex-layout.xlsx,91,contributing
"- style: Changes that do not affect the meaning of the code (white-space, formatting, missing
semi-colons, etc)",0,0,0,0,0,1,angular@flex-layout.xlsx,92,contributing
- refactor: A code change that neither fixes a bug nor adds a feature,0,0,0,0,0,1,angular@flex-layout.xlsx,93,contributing
- perf: A code change that improves performance,0,0,0,0,0,1,angular@flex-layout.xlsx,94,contributing
- test: Adding missing tests or correcting existing tests,0,0,0,0,0,1,angular@flex-layout.xlsx,95,contributing
"- build: Changes that affect the build system, CI configuration or external dependencies
(example scopes: gulp, broccoli, npm)",0,0,0,0,0,1,angular@flex-layout.xlsx,96,contributing
- chore: Other changes that don't modify src or test files,0,0,0,0,0,1,angular@flex-layout.xlsx,97,contributing
Scope,0,0,0,0,0,1,angular@flex-layout.xlsx,98,contributing
"The scope could be anything specifying place of the commit change. For example
datepicker, dialog, etc.",0,0,0,0,0,1,angular@flex-layout.xlsx,99,contributing
Subject,0,0,0,0,0,1,angular@flex-layout.xlsx,100,contributing
The subject contains succinct description of the change:,0,0,0,0,0,1,angular@flex-layout.xlsx,101,contributing
"- use the imperative, present tense: ""change"" not ""changed"" nor ""changes""",0,0,0,0,0,1,angular@flex-layout.xlsx,102,contributing
- don't capitalize first letter,0,0,0,0,0,1,angular@flex-layout.xlsx,103,contributing
- no dot (.) at the end,0,0,0,0,0,1,angular@flex-layout.xlsx,104,contributing
Body,0,0,0,0,0,1,angular@flex-layout.xlsx,105,contributing
"Just as in the subject, use the imperative, present tense: ""change"" not ""changed"" nor ""changes"".
The body should include the motivation for the change and contrast this with previous behavior.",0,0,0,0,0,1,angular@flex-layout.xlsx,106,contributing
Footer,0,0,0,0,0,1,angular@flex-layout.xlsx,107,contributing
"The footer should contain any information about Breaking Changes and is also the place to
reference GitHub issues that this commit Closes.",0,0,0,0,0,1,angular@flex-layout.xlsx,108,contributing
"Breaking Changes should start with the word BREAKING CHANGE: with a space or two newlines.
The rest of the commit message is then used for this.",0,0,0,0,0,1,angular@flex-layout.xlsx,109,contributing
A detailed explanation can be found in this document.,0,0,0,0,0,1,angular@flex-layout.xlsx,110,contributing
Signing the CLA,0,0,0,0,0,1,angular@flex-layout.xlsx,111,contributing
"Please sign our Contributor License Agreement (CLA) before sending pull requests. For any code
changes to be accepted, the CLA must be signed. It's a quick process, we promise!",0,0,0,0,0,1,angular@flex-layout.xlsx,112,contributing
- For individuals we have a simple click-through form.,0,0,0,0,0,1,angular@flex-layout.xlsx,113,contributing
"- For corporations we'll need you to
print, sign and one of scan+email, fax or mail the form.",0,0,0,0,0,1,angular@flex-layout.xlsx,114,contributing
Contributing to AngularJS Material,0,0,0,0,0,0,angular@material.xlsx,2,contributing
- Code of Conduct,0,0,0,0,0,0,angular@material.xlsx,3,contributing
- Signing the CLA,0,0,0,0,0,0,angular@material.xlsx,4,contributing
- Question or Problem?,0,0,0,0,0,0,angular@material.xlsx,5,contributing
- Issues and Bugs,0,0,0,0,0,0,angular@material.xlsx,6,contributing
- Enhancement Requests,0,0,0,0,0,0,angular@material.xlsx,7,contributing
- Issue Guidelines,0,0,0,0,0,0,angular@material.xlsx,8,contributing
- Git Commit Guidelines,0,0,0,0,0,0,angular@material.xlsx,9,contributing
- Developer Commits Levels,0,0,0,0,0,0,angular@material.xlsx,10,contributing
- Submission Guidelines,0,0,0,0,0,0,angular@material.xlsx,11,contributing
Code of Conduct,0,0,1,0,0,0,angular@material.xlsx,12,contributing
"Please help us keep AngularJS Material open and inclusive by reading and following our
Code of Conduct.",0,0,1,0,0,0,angular@material.xlsx,13,contributing
"Please note that by using GitHub, you have also agreed to follow the
GitHub Terms of Service which
include guidelines on conduct.",0,0,1,0,0,0,angular@material.xlsx,14,contributing
"We are care deeply about our inclusive community and diverse group of members. As part of this,
we do take time away from development to enforce this policy through interventions in heated
discussions, one on one discussions to explain the policy to violators, and bans for repeat
violators.",0,0,1,0,0,0,angular@material.xlsx,15,contributing
"Have a Question, Problem, or Idea?",0,0,0,0,0,0,angular@material.xlsx,16,contributing
"If you have questions or ideas regarding AngularJS Material, please direct these to the
AngularJS Material Forum.",0,0,0,0,0,0,angular@material.xlsx,17,contributing
"Otherwise, do you:",0,0,0,0,0,0,angular@material.xlsx,18,contributing
- Want to report a Bug?,0,0,0,0,0,0,angular@material.xlsx,19,contributing
- Want to request an Enhancement?,0,0,0,0,0,0,angular@material.xlsx,20,contributing
1. Want to report a Bug or Issue?,0,0,0,0,0,0,angular@material.xlsx,21,contributing
"If you find a bug in the source code or a mistake in the documentation, we recommend that you first
review the latest master version of the Online Documentation
and use one of the Demos to create a CodePen that reproduces the issue.",0,0,0,0,0,0,angular@material.xlsx,22,contributing
"If the issue can be reproduced in the latest master version, you can help us by submitting an issue
to our GitHub Repository. After the issue is triaged
(labels are applied to it), we invite you to submit a Pull Request with a proposed fix.
Your custom changes can be crafted in a repository fork and submitted
to the GitHub Repository as a Pull Request.",0,0,0,0,0,0,angular@material.xlsx,23,contributing
"Important: Please review the Submission Guidelines below, before contributing to the
project.",0,0,0,0,0,0,angular@material.xlsx,24,contributing
2. Want to request an Enhancement?,0,0,0,0,0,0,angular@material.xlsx,25,contributing
"You can request an enhancement by
submitting an issue. After an issue is submitted,
if you would like to implement an enhancement then consider what kind of change it is:",1,0,0,0,0,0,angular@material.xlsx,26,contributing
"- Major Changes that you wish to contribute to the project should be discussed first on our
AngularJS Material Forum, so that we can better
coordinate our efforts, prevent duplication of work, and help you to craft the change so that it is
successfully accepted into the project.",1,0,0,0,0,0,angular@material.xlsx,27,contributing
"- Small Changes can be crafted and submitted to the
GitHub Repository as a Pull Request.",1,0,0,0,0,0,angular@material.xlsx,28,contributing
Issue Guidelines,0,0,0,0,0,0,angular@material.xlsx,29,contributing
"Please note, this project is mature and stable with thousands of projects depending upon it.",0,0,0,0,0,0,angular@material.xlsx,30,contributing
"We welcome your enhancement requests, doc improvements, and issue reports.
However, we are not accepting major feature requests at this time.",0,0,0,0,0,0,angular@material.xlsx,31,contributing
"If you're thinking of contributing code or documentation to the
project, please review Submitting Pull Requests before beginning any work.",1,0,0,0,0,0,angular@material.xlsx,32,contributing
Submitting an Issue,0,0,0,0,0,0,angular@material.xlsx,33,contributing
"Before you submit an issue,
search the issues archive;
maybe the issue has already been submitted or considered. If the issue appears to be a bug,
and hasn't been reported, open a new issue.",0,0,0,0,0,0,angular@material.xlsx,34,contributing
"Please do not report duplicate issues; help us maximize the effort we can spend fixing
issues and adding enhancements.",0,0,0,0,0,0,angular@material.xlsx,35,contributing
"Providing the following information will increase the chances of your issue being dealt with
quickly:",0,0,0,0,0,0,angular@material.xlsx,36,contributing
"- Issue Title - provide a concise issue title prefixed with a snake-case name of the
associated service or component (if any): <component>: <issue title>.
Adding the md- prefix should be avoided.",0,0,0,0,0,0,angular@material.xlsx,37,contributing
e.g.,0,0,0,0,0,0,angular@material.xlsx,38,contributing
- menu-bar: does not support dark mode themes #11238,0,0,0,0,0,0,angular@material.xlsx,39,contributing
- tooltip: memory leak on destroy #11133,0,0,0,0,0,0,angular@material.xlsx,40,contributing
"- Complete the full Issue Template - GitHub now supports issue templates and AngularJS Material
provides one to make submitting an issue with all of the required information more straightforward.",0,0,0,0,0,0,angular@material.xlsx,41,contributing
"- Suggest a Fix - if you can't fix the bug yourself, perhaps you can point to what might be
causing the problem (line of code or commit).",0,0,0,0,0,0,angular@material.xlsx,42,contributing
Submitting Pull Requests,0,0,0,0,0,1,angular@material.xlsx,43,contributing
"Important: We are not accepting major feature requests or PRs that contain major new features
or breaking changes at this time.",0,0,0,0,0,1,angular@material.xlsx,44,contributing
"Please check with us via the discussion forum
before investing significant effort in a planned Pull Request submission; it's possible that we are
already working on a related PR or have decided that the enhancement does not belong in the core
AngularJS Material project.",0,0,0,0,0,1,angular@material.xlsx,45,contributing
- All contributions must be consistent with the AngularJS Material Coding Conventions.,0,0,0,0,0,1,angular@material.xlsx,46,contributing
"- Submit proposed changes or additions as GitHub pull requests that follow the
Pull Request Guidelines.",0,0,0,0,0,1,angular@material.xlsx,47,contributing
Git Commit Guidelines,0,0,0,0,0,1,angular@material.xlsx,48,contributing
"We have very precise rules over how our git commit messages can be formatted. This leads to more
readable messages that are easy to follow when looking through the project history.",0,0,0,0,0,1,angular@material.xlsx,49,contributing
"It is important to note that we use the git commit messages to generate the AngularJS Material
CHANGELOG document. Improperly formatted commit messages may result in your
change not appearing in the CHANGELOG of the next release.",0,0,0,0,0,1,angular@material.xlsx,50,contributing
Commit Message Format,0,0,0,0,0,1,angular@material.xlsx,51,contributing
"Each commit message consists of a header, a body and a footer. The header has a special
format that includes a type, a scope and a subject:",0,0,0,0,0,1,angular@material.xlsx,52,contributing
"<type>(<scope>): <subject>
<BLANK LINE>
<body>
<BLANK LINE>
<footer>",0,0,0,0,0,1,angular@material.xlsx,53,contributing
"Any line of the commit message cannot be longer 100 characters!
This allows the message to be easier to read on GitHub as well as in various Git tools.",0,0,0,0,0,1,angular@material.xlsx,54,contributing
Type,0,0,0,0,0,1,angular@material.xlsx,55,contributing
Must be one of the following:,0,0,0,0,0,1,angular@material.xlsx,56,contributing
- feat: A new feature,0,0,0,0,0,1,angular@material.xlsx,57,contributing
- fix: A bug fix,0,0,0,0,0,1,angular@material.xlsx,58,contributing
- docs: Documentation only changes,0,0,0,0,0,1,angular@material.xlsx,59,contributing
"- style: Changes that do not affect the meaning of the code (white-space, formatting, missing
semi-colons, etc)",0,0,0,0,0,1,angular@material.xlsx,60,contributing
- refactor: A code change that neither fixes a bug nor adds a feature,0,0,0,0,0,1,angular@material.xlsx,61,contributing
- perf: A code change that improves performance,0,0,0,0,0,1,angular@material.xlsx,62,contributing
- test: Adding missing tests,0,0,0,0,0,1,angular@material.xlsx,63,contributing
"- chore: Changes to the build process or auxiliary tools and libraries such as documentation
generation",0,0,0,0,0,1,angular@material.xlsx,64,contributing
Scope,0,0,0,0,0,1,angular@material.xlsx,65,contributing
The scope could be anything that helps specifying the scope (or feature) that is changing.,0,0,0,0,0,1,angular@material.xlsx,66,contributing
Examples,0,0,0,0,0,1,angular@material.xlsx,67,contributing
- select(multiple):,0,0,0,0,0,1,angular@material.xlsx,68,contributing
- dialog(alert):,0,0,0,0,0,1,angular@material.xlsx,69,contributing
Subject,0,0,0,0,0,1,angular@material.xlsx,70,contributing
The subject contains a succinct description of the change:,0,0,0,0,0,1,angular@material.xlsx,71,contributing
"- use the imperative, present tense: ""change"" not ""changed"" nor ""changes""",0,0,0,0,0,1,angular@material.xlsx,72,contributing
- don't capitalize first letter,0,0,0,0,0,1,angular@material.xlsx,73,contributing
- no dot (.) at the end,0,0,0,0,0,1,angular@material.xlsx,74,contributing
Body,0,0,0,0,0,1,angular@material.xlsx,75,contributing
"Just as in the subject, use the imperative, present tense: ""change"" not ""changed"" nor ""changes""
The body should include the motivation for the change and contrast this with previous behavior.",0,0,0,0,0,1,angular@material.xlsx,76,contributing
Footer,0,0,0,0,0,1,angular@material.xlsx,77,contributing
"The footer should contain any information about Breaking Changes and is also the place to
reference GitHub issues that this commit Closes, Fixes, or Relates to.",0,0,0,0,0,1,angular@material.xlsx,78,contributing
"Breaking Changes are intended to be highlighted in the ChangeLog as changes that will require
community users to modify their code after updating to a version that contains this commit.",0,0,0,0,0,1,angular@material.xlsx,79,contributing
Sample Commit messages:,0,0,0,0,0,1,angular@material.xlsx,80,contributing
fix(autocomplete): don't show the menu panel when readonly,0,0,0,0,0,1,angular@material.xlsx,81,contributing
this could sometimes happen when no value was selected,0,0,0,0,0,1,angular@material.xlsx,82,contributing
Fixes #11231,0,0,0,0,0,1,angular@material.xlsx,83,contributing
feat(chips): trigger ng-change on chip addition/removal,0,0,0,0,0,1,angular@material.xlsx,84,contributing
* add test of `ng-change` for `md-chips`,0,0,0,0,0,1,angular@material.xlsx,85,contributing
* add docs regarding `ng-change` for `md-chips` and `md-contact-chips`,0,0,0,0,0,1,angular@material.xlsx,86,contributing
* add demo for ng-change on `md-chips`,0,0,0,0,0,1,angular@material.xlsx,87,contributing
* add demo for ng-change on `md-contact-chips`,0,0,0,0,0,1,angular@material.xlsx,88,contributing
Fixes #11161 Fixes #3857,0,0,0,0,0,1,angular@material.xlsx,89,contributing
refactor(content): prefix mdContent scroll- attributes,0,0,0,0,0,1,angular@material.xlsx,90,contributing
BREAKING CHANGE: md-content's `scroll-` attributes are now prefixed with `md-`.,0,0,0,0,0,1,angular@material.xlsx,91,contributing
Change your code from this:,0,0,0,0,0,1,angular@material.xlsx,92,contributing
"```html
<md-content scroll-x scroll-y scroll-xy>
```",0,0,0,0,0,1,angular@material.xlsx,93,contributing
To this:,0,0,0,0,0,1,angular@material.xlsx,94,contributing
"```html
<md-content md-scroll-x md-scroll-y md-scroll-xy>
```",0,0,0,0,0,1,angular@material.xlsx,95,contributing
Guidelines for Developer Commit Authorizations,0,0,0,0,0,1,angular@material.xlsx,96,contributing
"Please review the Commit Level and Authorization Guidelines for
details on how to implement and submit your fixes, changes, or enhancements to AngularJS Material.",0,0,0,0,0,1,angular@material.xlsx,97,contributing
"This guideline provides details on creating a repository Fork of the AngularJS Material repository
and how to submit Pull Requests.",0,0,0,0,0,1,angular@material.xlsx,98,contributing
Signing the CLA,0,0,0,0,0,1,angular@material.xlsx,99,contributing
"Please sign our Contributor License Agreement (CLA) before sending pull requests. For any code
changes to be accepted, the CLA must be signed. It's a quick process, we promise!",0,0,0,0,0,1,angular@material.xlsx,100,contributing
"To learn more and sign the CLA, visit cla.developers.google.com.",0,0,0,0,0,1,angular@material.xlsx,101,contributing
Contributing,0,0,0,0,0,0,angular@protractor.xlsx,2,contributing
Questions,0,0,0,0,0,0,angular@protractor.xlsx,3,contributing
Please first read through the FAQ.,0,0,0,0,0,0,angular@protractor.xlsx,4,contributing
"Please ask questions on StackOverflow, Google Group discussion list, or Gitter.",0,0,1,0,0,0,angular@protractor.xlsx,5,contributing
Any questions posted to Protractor's Github Issues will be closed with this note:,0,0,0,0,0,0,angular@protractor.xlsx,6,contributing
"Please direct general support questions like this one to an appropriate support channel, see https://github.com/angular/protractor/blob/master/CONTRIBUTING.md#questions",0,0,0,0,0,0,angular@protractor.xlsx,7,contributing
Thank you!,0,0,0,0,0,0,angular@protractor.xlsx,8,contributing
Issues,0,0,0,0,0,0,angular@protractor.xlsx,9,contributing
"If you have a bug or feature request, please file an issue.
Before submitting an issue, please search the issue archive to help reduce duplicates, and read the
FAQ.",0,0,0,0,0,0,angular@protractor.xlsx,10,contributing
Try running with troubleshooting messages (protractor --troubleshoot) against your configuration to make sure that there is not an error with your setup.,0,0,0,0,0,0,angular@protractor.xlsx,11,contributing
"When submitting an issue, please include a reproducible case that we can actually run. Protractor has a test Angular application available at http://www.protractortest.org/testapp which you can use for the reproducible test case. If there's an error, please include the error text.",0,0,0,0,0,0,angular@protractor.xlsx,12,contributing
Please format code and markup in your issue using github markdown.,0,0,0,0,0,0,angular@protractor.xlsx,13,contributing
Contributing to Source Code (Pull Requests),0,0,0,0,0,1,angular@protractor.xlsx,14,contributing
"Loosely, follow the Angular contribution rules.",0,0,0,0,0,1,angular@protractor.xlsx,15,contributing
"- If your PR changes any behavior or fixes an issue, it should have an associated test.",0,0,0,0,0,1,angular@protractor.xlsx,16,contributing
- New features should be general and as simple as possible.,0,0,0,0,0,1,angular@protractor.xlsx,17,contributing
- Breaking changes should be avoided if possible.,0,0,0,0,0,1,angular@protractor.xlsx,18,contributing
- All pull requests require review. No PR will be merged without a comment from a team member stating LGTM (Looks good to me).,0,0,0,0,0,1,angular@protractor.xlsx,19,contributing
Protractor specific rules,0,0,0,0,1,0,angular@protractor.xlsx,20,contributing
- JavaScript style should generally follow the Google JS style guide.,0,0,0,0,1,0,angular@protractor.xlsx,21,contributing
- Wrap code at 80 chars.,0,0,0,0,1,0,angular@protractor.xlsx,22,contributing
- Document public methods with jsdoc.,0,0,0,0,1,0,angular@protractor.xlsx,23,contributing
- Be consistent with the code around you!,0,0,0,0,1,0,angular@protractor.xlsx,24,contributing
Commit Messages,0,0,0,0,0,1,angular@protractor.xlsx,25,contributing
"Please write meaningful commit messages - they are used to generate the changelog, so the commit message should tell a user everything they need to know about a commit. Protractor follows AngularJS's commit message format.",0,0,0,0,0,1,angular@protractor.xlsx,26,contributing
"In summary, this style is",0,0,0,0,0,1,angular@protractor.xlsx,27,contributing
"<type>(<scope>): <subject>
<BLANK LINE>
<body>",0,0,0,0,0,1,angular@protractor.xlsx,28,contributing
"Where <type> is one of [feat, fix, docs, refactor, test, chore, deps] and
<scope> is a quick descriptor of the location of the change, such as cli, clientSideScripts, element.",0,0,0,0,0,1,angular@protractor.xlsx,29,contributing
Testing your changes,0,0,0,0,0,1,angular@protractor.xlsx,30,contributing
"Test your changes on your machine by running npm start to start up the test application,
then npm test to run the test suite. This assumes you have a Selenium Server running
at localhost:4444.",0,0,0,0,0,1,angular@protractor.xlsx,31,contributing
"When you submit a PR, tests will also be run on the Continuous Integration environment
through Travis. If your tests fail on Travis, take a look at the logs - if the failures
are known flakes in Internet Explorer or Safari you can ignore them, but otherwise
Travis should pass.",0,0,0,0,0,1,angular@protractor.xlsx,32,contributing
Contributing to Angular Universal,0,0,0,0,0,0,angular@universal.xlsx,2,contributing
"We would love for you to contribute to Angular 2 and help make it even better than it is
today! As a contributor, here are the guidelines we would like you to follow:",0,0,0,0,0,0,angular@universal.xlsx,3,contributing
- Code of Conduct,0,0,0,0,0,0,angular@universal.xlsx,4,contributing
- Question or Problem?,0,0,0,0,0,0,angular@universal.xlsx,5,contributing
- Issues and Bugs,0,0,0,0,0,0,angular@universal.xlsx,6,contributing
- Feature Requests,0,0,0,0,0,0,angular@universal.xlsx,7,contributing
- Submission Guidelines,0,0,0,0,0,0,angular@universal.xlsx,8,contributing
- Coding Rules,0,0,0,0,0,0,angular@universal.xlsx,9,contributing
- Commit Message Guidelines,0,0,0,0,0,0,angular@universal.xlsx,10,contributing
- Signing the CLA,0,0,0,0,0,0,angular@universal.xlsx,11,contributing
Code of Conduct,0,0,1,0,0,0,angular@universal.xlsx,12,contributing
Help us keep Angular open and inclusive. Please read and follow our Code of Conduct.,0,0,1,0,0,0,angular@universal.xlsx,13,contributing
Got a Question or Problem?,0,0,1,0,0,0,angular@universal.xlsx,14,contributing
"If you have questions about how to use Angular 2 Universal, please direct them to Gitter.
There is also a Slack ground that we would be hapy to invite you to. Just ping @jeffwhelpley
or @gdi2290 on Twitter or Gitter.",0,0,1,0,0,0,angular@universal.xlsx,15,contributing
Found an Issue?,0,0,0,0,0,0,angular@universal.xlsx,16,contributing
"If you find a bug in the source code or a mistake in the documentation, you can help us by
submitting an issue to our GitHub Repository. Even better, you can
submit a Pull Request with a fix.",0,0,0,0,0,0,angular@universal.xlsx,17,contributing
Want a Feature?,1,0,0,0,0,0,angular@universal.xlsx,18,contributing
"You can request a new feature by submitting an issue to our GitHub
Repository. If you would like to implement a new feature, please submit an issue with
a proposal for your work first, to be sure that we can use it. Angular 2 is in developer preview
and we are not ready to accept major contributions ahead of the full release.
Please consider what kind of change it is:",1,0,0,0,0,0,angular@universal.xlsx,19,contributing
"- For a Major Feature, first open an issue and outline your proposal so that it can be
discussed. This will also allow us to better coordinate our efforts, prevent duplication of work,
and help you to craft the change so that it is successfully accepted into the project.",1,0,0,0,0,0,angular@universal.xlsx,20,contributing
- Small Features can be crafted and directly submitted as a Pull Request.,1,0,0,0,0,0,angular@universal.xlsx,21,contributing
Submission Guidelines,0,0,0,0,0,0,angular@universal.xlsx,22,contributing
Submitting an Issue,0,0,0,0,0,0,angular@universal.xlsx,23,contributing
"Before you submit an issue, search the archive, maybe your question was already answered.",0,0,0,0,0,0,angular@universal.xlsx,24,contributing
"If your issue appears to be a bug, and hasn't been reported, open a new issue.
Help us to maximize the effort we can spend fixing issues and adding new
features, by not reporting duplicate issues.  Providing the following information will increase the
chances of your issue being dealt with quickly:",0,0,0,0,0,0,angular@universal.xlsx,25,contributing
- Overview of the Issue - if an error is being thrown a non-minified stack trace helps,0,0,0,0,0,0,angular@universal.xlsx,26,contributing
- Angular Universal Version - what version of Angular is affected (e.g. 2.0.0-beta.6),0,0,0,0,0,0,angular@universal.xlsx,27,contributing
- Motivation for or Use Case - explain what are you trying to do and why the current behavior is a bug for you,0,0,0,0,0,0,angular@universal.xlsx,28,contributing
- Browsers and Operating System - is this a problem with all browsers?,0,0,0,0,0,0,angular@universal.xlsx,29,contributing
"- Reproduce the Error - provide a live example (using Plunker,
JSFiddle or Runnable) or a unambiguous set of steps",0,0,0,0,0,0,angular@universal.xlsx,30,contributing
- Related Issues - has a similar issue been reported before?,0,0,0,0,0,0,angular@universal.xlsx,31,contributing
"- Suggest a Fix - if you can't fix the bug yourself, perhaps you can point to what might be
causing the problem (line of code or commit)",0,0,0,0,0,0,angular@universal.xlsx,32,contributing
You can file new issues by providing the above information here.,0,0,0,0,0,0,angular@universal.xlsx,33,contributing
Submitting a Pull Request (PR),0,0,0,0,0,1,angular@universal.xlsx,34,contributing
Before you submit your Pull Request (PR) consider the following guidelines:,0,0,0,0,0,1,angular@universal.xlsx,35,contributing
"- Search GitHub for an open or closed PR
that relates to your submission. You don't want to duplicate effort.",0,0,0,0,0,1,angular@universal.xlsx,36,contributing
"- Please sign our Contributor License Agreement (CLA) before sending PRs.
We cannot accept code without this.",0,0,0,0,0,1,angular@universal.xlsx,37,contributing
- Make your changes in a new git branch:,0,0,0,0,0,1,angular@universal.xlsx,38,contributing
git checkout -b my-fix-branch master,0,0,0,0,0,1,angular@universal.xlsx,39,contributing
"- Create your patch, including appropriate test cases.",0,0,0,0,0,1,angular@universal.xlsx,40,contributing
- Follow our Coding Rules.,0,0,0,0,0,1,angular@universal.xlsx,41,contributing
"- Run the full Angular test suite, as described in the developer documentation,
and ensure that all tests pass.",0,0,0,0,0,1,angular@universal.xlsx,42,contributing
"- Commit your changes using a descriptive commit message that follows our
commit message conventions. Adherence to these conventions
is necessary because release notes are automatically generated from these messages.",0,0,0,0,0,1,angular@universal.xlsx,43,contributing
git commit -a,0,0,0,0,0,1,angular@universal.xlsx,44,contributing
"Note: the optional commit -a command line option will automatically ""add"" and ""rm"" edited files.",0,0,0,0,0,1,angular@universal.xlsx,45,contributing
- Push your branch to GitHub:,0,0,0,0,0,1,angular@universal.xlsx,46,contributing
git push origin my-fix-branch,0,0,0,0,0,1,angular@universal.xlsx,47,contributing
"- In GitHub, send a pull request to universal:master.",0,0,0,0,0,1,angular@universal.xlsx,48,contributing
- If we suggest changes then:,0,0,0,0,0,1,angular@universal.xlsx,49,contributing
- Make the required updates.,0,0,0,0,0,1,angular@universal.xlsx,50,contributing
- Re-run the Angular 2 test suites for JS and Dart to ensure tests are still passing.,0,0,0,0,0,1,angular@universal.xlsx,51,contributing
- Rebase your branch and force push to your GitHub repository (this will update your Pull Request):,0,0,0,0,0,1,angular@universal.xlsx,52,contributing
"git rebase master -i
git push -f",0,0,0,0,0,1,angular@universal.xlsx,53,contributing
That's it! Thank you for your contribution!,0,0,0,0,0,1,angular@universal.xlsx,54,contributing
After your pull request is merged,0,0,0,0,0,1,angular@universal.xlsx,55,contributing
"After your pull request is merged, you can safely delete your branch and pull the changes
from the main (upstream) repository:",0,0,0,0,0,1,angular@universal.xlsx,56,contributing
- Delete the remote branch on GitHub either through the GitHub web UI or your local shell as follows:,0,0,0,0,0,1,angular@universal.xlsx,57,contributing
git push origin --delete my-fix-branch,0,0,0,0,0,1,angular@universal.xlsx,58,contributing
- Check out the master branch:,0,0,0,0,0,1,angular@universal.xlsx,59,contributing
git checkout master -f,0,0,0,0,0,1,angular@universal.xlsx,60,contributing
- Delete the local branch:,0,0,0,0,0,1,angular@universal.xlsx,61,contributing
git branch -D my-fix-branch,0,0,0,0,0,1,angular@universal.xlsx,62,contributing
- Update your master with the latest upstream version:,0,0,0,0,0,1,angular@universal.xlsx,63,contributing
git pull --ff upstream master,0,0,0,0,0,1,angular@universal.xlsx,64,contributing
Coding Rules,0,0,0,0,1,0,angular@universal.xlsx,65,contributing
"To ensure consistency throughout the source code, keep these rules in mind as you are working:",0,0,0,0,1,0,angular@universal.xlsx,66,contributing
- All features or bug fixes must be tested by one or more specs (unit-tests).,0,0,0,0,1,0,angular@universal.xlsx,67,contributing
- All public API methods must be documented. (Details TBC).,0,0,0,0,1,0,angular@universal.xlsx,68,contributing
"- We follow Google's JavaScript Style Guide, but wrap all code at
100 characters. An automated formatter is available, see
DEVELOPER.md.",0,0,0,0,1,0,angular@universal.xlsx,69,contributing
Commit Message Guidelines,0,0,0,0,0,1,angular@universal.xlsx,70,contributing
"We have very precise rules over how our git commit messages can be formatted.  This leads to more
readable messages that are easy to follow when looking through the project history.  But also,
we use the git commit messages to generate the Angular change log.",0,0,0,0,0,1,angular@universal.xlsx,71,contributing
