Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Label,Spreadsheet,Worksheet,Row Index
* with the License.  You may obtain a copy of the License at,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,68
*,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,69
*   http://www.apache.org/licenses/LICENSE-2.0,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,70
*,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,71
"* Unless required by applicable law or agreed to in writing,",0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,72
* software distributed under the License is distributed on an,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,73
"* ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY",0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,74
"* KIND, either express or implied.  See the License for the",0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,75
* specific language governing permissions and limitations,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,76
* under the License.,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,77
*/,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,78
5.  Commit all the changes to your branch.,1,0,0,0,0,0,CF – Contribution flow,apache@incubator-weex.xlsx,contributing,79
Tip:,1,0,0,0,0,0,CF – Contribution flow,apache@incubator-weex.xlsx,contributing,80
"If you are writing Java or C++ with Android Studio, License will be added to the head of the file automatically.",1,0,0,0,0,0,CF – Contribution flow,apache@incubator-weex.xlsx,contributing,81
Code Style Guidelines,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,82
Objective-C,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,83
- Tabs should be used for indentation. Please do not use spaces.,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,84
- * operator goes with the variable name (e.g. Type *variable;),0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,85
"- For function definitions, place each brace on its own line.",0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,86
"- For all the other braces, place the open brace on the line preceding the code block and place the close brace on its own line.",0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,87
- Use #pragma marks to categorize methods into functional groupings and protocol implementations,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,88
- Follow other guidelines on GitHub Objective-C Style Guide,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,89
Java & Android,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,90
- Use Google Java Style as basic guidelines of java code.,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,91
- Follow AOSP Code Style for rest of android related code style.,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,92
C & C++,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,93
- Use Google C++ Style   as basic guidelines of C++ code,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,94
- Weex defines a subset of the Google C++ development specification that covers some of the major C++ scenario usage specifications.,0,0,0,0,1,0,DC – Deal with the code,apache@incubator-weex.xlsx,contributing,95
Publish your Change,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,96
Open a pull request against the master branch of apache/incubator-weex. Make sure following guidelines are considered when creating a pull request.,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,97
1.  One PR should solve only one problem.,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,98
2.  The PR title should be the form of [COMPONENT] Summary:,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,99
"- COMPONENT is one of the mentioned PR categories (android, iOS, JsFm, web, test, etc..).",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,100
- Summary should be a brief description of your change within one sentence.,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,101
3.  Content description of PR,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,102
"- If the PR is about fixing a bug excluding crash, a demo is necessary in code's description.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,103
"- If the PR is about adding a new feature, another PR for documentation is necessary in codes' PR description.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,104
"- Optional If the PR fixes an existing Github issue, you may add the link to the corresponding issue in the PR.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,105
"There will be a static check program when you submit a PR,and the following rules will be checked:",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,106
"1.  Check if your PR is submitted to master branch, if not, you will failed.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,107
"2.  Check if your PR is bounded with a milestone, if not, you will receive a warning message.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,108
"3.  Check if your PR description contains keywords Documentation and it's corresponding http links. if not, you will receive a warning message.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,109
"4.  Check if your PR description contains keywords Demo and it's corresponding http links. if not, you will receive a warning message.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,110
"5.  Check if your PR modify the changelog.md, if not,you will receive a warning message.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,111
Tip:,0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,112
"Reviewing PR may take a great deal of time, please be patient. If your PR doesn't get response over 96 hours, you might send an email to mailing list to ask the progress.",0,0,0,0,0,1,SC – Submit the changes,apache@incubator-weex.xlsx,contributing,113
Members and Governance Model,0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,114
"You can find committers, PPMCs and governance model of Weex from confluence.",0,0,0,0,0,0,No categories identified.,apache@incubator-weex.xlsx,contributing,115
How to contribute,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,0
Want to show Apache JMeter some love? Help out by contributing!,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,1
:beetle: Found a bug,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,2
Log it in our bugzilla:,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,3
- https://jmeter.apache.org/issues.html,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,4
"- or send a note to the user mailing list.
Be sure to include all relevant information, like the versions of JMeter you
A Test plan  that caused the issue as well as any error messages are also very helpful.",0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,5
:question: Need help,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,6
Simply contact:,0,0,1,0,0,0,TC – Talk to the community,apache@jmeter.xlsx,contributing,7
- Our users mailing list,0,0,1,0,0,0,TC – Talk to the community,apache@jmeter.xlsx,contributing,8
- or ask question on stackoverflow.,0,0,1,0,0,0,TC – Talk to the community,apache@jmeter.xlsx,contributing,9
:bar_chart: What needs to be developed,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,10
See:,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,11
- Open bug entries for JMeter,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,12
- Enhancement requests for JMeter,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,13
Development setup,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,14
Gradle,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,15
You might find useful Gradle commands in gradle.md,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,16
IntelliJ IDEA,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,17
You require IntelliJ 2018.3.1 or newer.,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,18
1.  Open the build.gradle.kts file with IntelliJ IDEA and choose Open as Project,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,19
2.  Make sure Create separate module per source set is selected,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,20
3.  Make sure Use default gradle wrapper is selected,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,21
"4.  In the File already exists dialogue, choose Yes to overwrite",0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,22
"5.  In the Open Project dialogue, choose Delete Existing Project and Import",0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,23
Eclipse,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,24
Eclipse can import Gradle projects automatically via Import...->Gradle project wizard.,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,25
Optionally you can generate Eclipse project by running,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,26
./gradlew eclipse,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,27
The steps to import the sources (based on Eclipse 2019-06) into Eclipse are as follows:,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,28
1.  Install Eclipse IDE for Java Developers,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,29
2.  Install the Groovy Eclipse plugin and select Groovy Compiler 2.4 (some tests are written in Groovy),0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,30
3.  Install Kotlin for Eclipse plugin (builds scripts are written in Kotlin),0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,31
4.  Make sure you have a Java 8 compatible JDK configured in your workspace,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,32
5.  Open File->Import...,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,33
6.  Select Existing Gradle Project and click Next,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,34
7.  Read How to experience the best Gradle integration and click Next,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,35
8.  Then you might just click Finish,0,0,0,1,0,0,BW – Build local workspace,apache@jmeter.xlsx,contributing,36
:star2: Have a patch,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,37
"The best way to make sure your issue or feature is addressed is to submit a patch.
We accept patches through:",0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,38
- pull requests,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,39
- patch attached to bugzilla.,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,40
"However, before sending a patch, please make sure that the following applies:",0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,41
- Your commit message is descriptive.,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,42
- Your patch doesn't have useless merge commits.,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,43
- Your coding style is similar to ours.,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,44
- Your patch is 100% tested. JUnit are welcome.,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,45
- All tests checks pass (run ./gradlew check),0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,46
- You understand that we're very grateful for your patch!,0,0,0,0,0,1,SC – Submit the changes,apache@jmeter.xlsx,contributing,47
:heart: Adding something new,1,0,0,0,0,0,CF – Contribution flow,apache@jmeter.xlsx,contributing,48
"We do love to enhance Apache JMeter with you to become more powerful!
The best way to workout your idea is to discuss it first at our dev mailing list:",1,0,0,0,0,0,CF – Contribution flow,apache@jmeter.xlsx,contributing,49
- JMeter developers mailing list,1,0,0,0,0,0,CF – Contribution flow,apache@jmeter.xlsx,contributing,50
"Please, if you can, don't just throw us the code of a new feature; lets figure first together
what would be the best approach regarding the current architecture and future plans,
before any development.
This way we all get sure that your idea is aligned with the codebase and you can enjoy
your happy coding even more :)",1,0,0,0,0,0,CF – Contribution flow,apache@jmeter.xlsx,contributing,51
:closed_book: Want to write docs,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,52
Documentation is very valuable to us.,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,53
It is located in xdocs folder in XML format.,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,54
You can contribute as you would for code through patch or PR (pull request).,0,0,0,0,0,0,No categories identified.,apache@jmeter.xlsx,contributing,55
Lucene.NET Contributor's Guide,0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,0
You have found a bug or you have an idea for a cool new enhancement? Contributing code is a great way to give something back to the open source community. Before you dig right into the code there are a few guidelines that we need contributors to follow so that we can have a chance of keeping on top of things.,0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,1
Getting Started,1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,2
"- Read Open Source Contribution Etiquette and Don't ""Push"" Your Pull Requests.",1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,3
"- Make sure you have a GitHub account. NOTE: Although this is a mirror of our Git repository, pull requests are accepted through GitHub.",1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,4
"- If you are thinking of adding a feature, we would appreciate you opening a discussion on our developer mailing list before you start writing. It could save both you and our team quite a bit of work if the code doesn't have to be rewritten to fit in with our overall objectives.",1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,5
"- Submit a new issue on GitHub, assuming one doesn't exist already.",1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,6
"- If reporting a bug, clearly describe the issue including steps to reproduce, observed behavior, and expected behavior.",0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,7
"- If reporting a bug, provide source code that we can run without any alteration demonstrating the issue. Issues submitted with runnable code will be given a higher priority than those submitted without.",0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,8
"- If you will be submitting a pull request, fork the repository on GitHub.",1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,9
- Create a new branch with a descriptive name (tracking master) and submit a Pull Request.,1,0,0,0,0,0,CF – Contribution flow,apache@lucenenet.xlsx,contributing,10
"NOTE: In the past, the Lucene.NET project used the JIRA issue tracker, which has now been deprecated. However, we are keeping it active for tracking legacy issues. Please submit any new issues to GitHub.",0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,11
Up For Grabs,0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,12
There are several Open Issues on GitHub that are marked up-for-grabs that we could use help with.,0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,13
Other Ways To Help,0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,14
- Be a power beta tester. Make it your mission to track down bugs and report them to us on GitHub.,0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,15
- Optimizing code. During porting we have ended up with some code that is less than optimal. We could use a hand getting everything up to speed (pun intended).,0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,16
"- Helping update the API, or at least just providing feedback on which API changes are affecting usability. There are several things on our radar, like integrating something like Lucene.Net.Linq directly into our project, converting the remaining public-facing iterator classes into IEnumerator<T> so they can be used with foreach loops, adding extension methods to remove the need for casting, etc.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,17
"- Making demos and tutorials, blogging about Lucene.Net, etc. (and providing feedback on how we can make the API better!). If you write a helpful Lucene.Net post on your blog, be sure to let us know so we can link to it.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,18
"- Helping out with documentation. We are still trying to make the API docs easily navigable (see #206), and there are many files that are not formatted correctly (links not appearing, tables not very readable, etc). Also, we need help getting all of the Java-related documentation converted to use .NET methodologies.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,19
"- Fixing TODOs. There are several TODOs throughout the code that need to be reviewed and action taken, if necessary. Search for LUCENENET TODO|LUCENE TO-DO using the regular expression option in Visual Studio to find them. Do note there are a lot of TODOs left over from Java Lucene that are safe to ignore.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,20
"- Reviewing code. Pick a random section, review line by line, comparing the code against the original Lucene 4.8.0 code. Many of the bugs have been found this way, as the tests are not showing them. Let us know if you find anything suspicious on the dev mailing list or submit a pull request with a fix.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,21
"- Creating projects to make Lucene.Net easier to use with various .NET frameworks (ASP.NET MVC, WebApi, AspNetCore, WPF, EntityFramework, etc). In general, we would like common tasks as easy as possible to integrate into applications build on these frameworks without everyone having to write the same boilerplate code.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,22
"- Building automation tools to eliminate some of the manual work of managing the project, updating information on various web pages, creating tools to make porting/upgrading more automated, etc.",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,23
"Or, if none of that interests you, join our dev mailing list and ask!",0,1,0,0,0,0,CT – Choose a task,apache@lucenenet.xlsx,contributing,24
Thank You For Your Help!,0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,25
"Again, thank you very much for your contribution. May the fork be with you!",0,0,0,0,0,0,No categories identified.,apache@lucenenet.xlsx,contributing,26
Contributing to Apache Pulsar,1,0,0,0,0,0,CF – Contribution flow,apache@pulsar.xlsx,contributing,0
"We would love for you to contribute to Apache Pulsar and make it even better!
Please check the Contributing to Apache Pulsar
page before starting to work on the project.",1,0,0,0,0,0,CF – Contribution flow,apache@pulsar.xlsx,contributing,1
Contributing to Apache Shiro,0,0,0,0,0,0,No categories identified.,apache@shiro.xlsx,contributing,0
Summary,1,0,0,0,0,0,CF – Contribution flow,apache@shiro.xlsx,contributing,1
"This document covers how to contribute to the Apache Shiro project. These instructions assume you have a GitHub.com account, so if you don't have one you will have to create one. Your proposed code changes will be published to your own fork of the Apache Shiro project and you will submit a Pull Request for your changes to be added.",1,0,0,0,0,0,CF – Contribution flow,apache@shiro.xlsx,contributing,2
Lets get started!!!,0,0,0,0,0,0,No categories identified.,apache@shiro.xlsx,contributing,3
Fork the code,0,0,0,1,0,0,BW – Build local workspace,apache@shiro.xlsx,contributing,4
"In your browser, navigate to: https://github.com/apache/shiro",0,0,0,1,0,0,BW – Build local workspace,apache@shiro.xlsx,contributing,5
Fork the repository by clicking on the 'Fork' button on the top right hand side.  The fork will happen and you will be taken to your own fork of the repository.  Copy the Git repository URL by clicking on the clipboard next to the URL on the right hand side of the page under 'HTTPS clone URL'.  You will paste this URL when doing the following git clone command.,0,0,0,1,0,0,BW – Build local workspace,apache@shiro.xlsx,contributing,6
"On your computer, follow these steps to setup a local repository for working on Apache Shiro:",0,0,0,1,0,0,BW – Build local workspace,apache@shiro.xlsx,contributing,7
"$ git clone https://github.com/YOUR_ACCOUNT/shiro.git
$ cd shiro
$ git remote add upstream https://github.com/apache/shiro.git
$ git checkout master
$ git fetch upstream
$ git rebase upstream/master",0,0,0,1,0,0,BW – Build local workspace,apache@shiro.xlsx,contributing,8
Making changes,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,9
It is important that you create a new branch to make changes on and that you do not change the master branch (other than to rebase in changes from upstream/master).  In this example I will assume you will be making your changes to a branch called feature_x.  This feature_x branch will be created on your local repository and will be pushed to your forked repository on GitHub.  Once this branch is on your fork you will create a Pull Request for the changes to be added to the Apache Shiro project.,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,10
It is best practice to create a new branch each time you want to contribute to the project and only track the changes for that pull request in this branch.,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,11
"$ git checkout -b feature_x
(make your changes)
$ git status
$ git add .
$ git commit -a -m ""descriptive commit message for your changes""",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,12
"The -b specifies that you want to create a new branch called feature_x.  You only specify -b the first time you checkout because you are creating a new branch.  Once the feature_x branch exists, you can later switch to it with only git checkout feature_x.",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,13
Rebase feature_x to include updates from upstream/master,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,14
It is important that you maintain an up-to-date master branch in your local repository.  This is done by rebasing in the code changes from upstream/master (the official Apache Shiro project repository) into your local repository.  You will want to do this before you start working on a feature as well as right before you submit your changes as a pull request.  I recommend you do this process periodically while you work to make sure you are working off the most recent project code.,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,15
This process will do the following:,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,16
1.  Checkout your local master branch,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,17
2.  Synchronize your local master branch with the upstream/master so you have all the latest changes from the project,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,18
3.  Rebase the latest project code into your feature_x branch so it is up-to-date with the upstream code,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,19
"$ git checkout master
$ git fetch upstream
$ git rebase upstream/master
$ git checkout feature_x
$ git rebase master",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,20
Now your feature_x branch is up-to-date with all the code in upstream/master.,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,21
Make a GitHub Pull Request to contribute your changes,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,22
"When you are happy with your changes and you are ready to contribute them, you will create a Pull Request on GitHub to do so.  This is done by pushing your local changes to your forked repository (default remote name is origin) and then initiating a pull request on GitHub.",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,23
IMPORTANT: Make sure you have rebased your feature_x branch to include the latest code from upstream/master before you do this.,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,24
"$ git push origin master
$ git push origin feature_x",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,25
"Now that the feature_x branch has been pushed to your GitHub repository, you can initiate the pull request.",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,26
"To initiate the pull request, do the following:",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,27
"1.  In your browser, navigate to your forked repository: https://github.com/YOUR_ACCOUNT/shiro",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,28
2.  Click the new button called 'Compare & pull request' that showed up just above the main area in your forked repository,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,29
3.  Validate the pull request will be into the upstream master and will be from your feature_x branch,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,30
4.  Enter a detailed description of the work you have done and then click 'Send pull request',0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,31
"If you are requested to make modifications to your proposed changes, make the changes locally on your feature_x branch, re-push the feature_x branch to your fork.  The existing pull request should automatically pick up the change and update accordingly.",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,32
Cleaning up after a successful pull request,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,33
"Once the feature_x branch has been committed into the upstream/master branch, your local feature_x branch and the origin/feature_x branch are no longer needed.  If you want to make additional changes, restart the process with a new branch.",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,34
IMPORTANT: Make sure that your changes are in upstream/master before you delete your feature_x and origin/feature_x branches!,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,35
You can delete these deprecated branches with the following:,0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,36
"$ git checkout master
$ git branch -D feature_x
$ git push origin :feature_x",0,0,0,0,0,1,SC – Submit the changes,apache@shiro.xlsx,contributing,37
How to Contribute,0,0,0,0,0,0,No categories identified.,apache@thrift.xlsx,contributing,0
"Thank you for your interest in contributing to the Apache Thrift project!  Information on why and how to contribute is available on the Apache Software Foundation (ASF) web site. In particular, we recommend the following to become acquainted with Apache Contributions:",0,0,0,0,0,0,No categories identified.,apache@thrift.xlsx,contributing,1
- Contributors Tech Guide,0,0,0,0,0,0,No categories identified.,apache@thrift.xlsx,contributing,2
- Get involved!,0,0,0,0,0,0,No categories identified.,apache@thrift.xlsx,contributing,3
- Legal aspects on Submission of Contributions (Patches),0,0,0,0,0,0,No categories identified.,apache@thrift.xlsx,contributing,4
GitHub pull requests,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,5
"This is the preferred method of submitting changes.  When you submit a pull request through github,
it activates the continuous integration (CI) build systems at Appveyor and Travis to build your changesxi
on a variety of Linux and Windows configurations and run all the test suites.  Follow these requirements
for a successful pull request:",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,6
1.  All significant changes require an Apache Jira THRIFT Issue ticket.  Trivial changes such as fixing a typo or a compiler warning do not.,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,7
"2.  All pull requests should contain a single commit per issue, or we will ask you to squash it.",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,8
"3.  The pull request title must begin with the Jira THRIFT ticket identifier if it has an associated ticket, for example:",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,9
THRIFT-9999: an example pull request title,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,10
4.  Commit messages must follow this pattern for code changes (deviations will not be merged):,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,11
"THRIFT-9999: [summary of fix, one line if possible]
Client: [language(s) affected, comma separated, for example: ""cpp,erl,perl""]",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,12
Instructions:,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,13
1.  Create a fork in your GitHub account of http://github.com/apache/thrift,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,14
2.  Clone the fork to your development system.,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,15
"3.  Create a branch for your changes (best practice is issue as branch name, e.g. THRIFT-9999).",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,16
"4.  Modify the source to include the improvement/bugfix, and:",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,17
- Remember to provide tests for all submitted changes!,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,18
- Use test-driven development (TDD): add a test that will isolate the bug before applying the change that fixes it.,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,19
"- Verify that you follow Thrift Coding Standards (you can run 'make style', which ensures proper format for some languages).",0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,20
- [optional] Verify that your change works on other platforms by adding a GitHub service hook to Travis CI and AppVeyor.  You can use this technique to run the Thrift CI jobs in your account to check your changes before they are made public.  Every GitHub pull request into Thrift will run the full CI build and test suite on your changes.,0,0,0,0,0,1,SC – Submit the changes,apache@thrift.xlsx,contributing,21
