Paragraph,Label
Development,DC – Deal with the code
"- Checkout the master branch. Ensure your working tree is clean, and make sure you have the latest changes by running git pull.",SC – Submit the changes
"3.  Launch a build:
./gradlew assembleRelease",BW – Build local workspace
Prefer the object form of mapDispatchToProps over the function form unless you can't avoid it.,DC – Deal with the code
- qt or gui for changes to bitcoin-qt,SC – Submit the changes
"Before a contribution can be merged into this project, please fill out the Contributor License Agreement (CLA) located at:",SC – Submit the changes
Start your work on a feature branch based off develop.,SC – Submit the changes
Write some code...,CF – Contribution flow
Conditionals and loops,DC – Deal with the code
Attribution,No categories identified.
"If you would like to chat about the question in real-time, you can reach out via our gitter channel.",No categories identified.
Weekly community meetings are held every Wednesday from 9am-10am PT on zoom. More information can be found on this agenda document.,TC – Talk to the community
- Client library packages are in a folder name like Microsoft.Azure.< ServiceName >,No categories identified.
"We welcome pull requests to add new features to AWS SAM. Take a look at the
backlog of Feature Requests and pick an item that you find interesting. If the requirements have been well-scoped, feel free to make the change and send a pull request.",CT – Choose a task
"Please, if you can, don't just throw us the code of a new feature; lets figure first together
what would be the best approach regarding the current architecture and future plans,
before any development.
This way we all get sure that your idea is aligned with the codebase and you can enjoy
your happy coding even more :)",CF – Contribution flow
"pip3 install -r requirements/integration.txt
pre-commit install",BW – Build local workspace
"You can contribute to cdk8s in many ways. Contributions of all shapes and sizes are
welcome and celebrated:",CT – Choose a task
CI status,No categories identified.
- Total Commander,No categories identified.
- Must compile WITHOUT warnings,DC – Deal with the code
Or if you installed composer globally:,SC – Submit the changes
[[array objectAtIndex:i] method],DC – Deal with the code
This means it'll register MyDatasource and MyOtherDatasource in superset.my_models module in the source registry.,No categories identified.
"- If any copyrightable expression is copied from the existing idea/algorithm, compare its licensing to our licensing policies and include licensing accordingly.",DC – Deal with the code
Scope,SC – Submit the changes
"When filing an issue, please check existing open, or recently closed, issues to make sure somebody else hasn't already
reported the issue. Please try to include as much information as you can. Details like these are incredibly useful:",No categories identified.
Setup,BW – Build local workspace
- Submitting an Issue,No categories identified.
"The most useful feedback is based on the latest development code, and in the case of crashes should include a stack backtrace made using a debug build.",No categories identified.
"Documentation can always be improved! Right now there is just the
README and the creating plugins guide.
The wiki exists but is in a state of
disrepair. If you see something that can be improved please submit a pull
request or edit the wiki.",No categories identified.
"- Use the provided meta functions to document your code, e.g. about-plugin, about, group, param, example.
This will make it easier for other people to use your new functionality.
Take a look at the existing code for an example (e.g. the base plugin).",DC – Deal with the code
"- Submit pull requests with new snippets (see guidelines below) or snippet updates (tags, descriptions, explanations, typos, examples, code improvements).",CT – Choose a task
Crowdin,No categories identified.
"- Send coherent history - Make sure each individual commit in your pull request is meaningful. If you had to make multiple intermediate commits while developing, please squash them before submitting.",SC – Submit the changes
Learn the development trends of Doris project in time and give your opinions on the topics you are concerned about.,TC – Talk to the community
Development Setup,No categories identified.
Questions,TC – Talk to the community
"To ensure consistency throughout the source code, keep these rules in mind as you are working:",DC – Deal with the code
Development style guidelines,DC – Deal with the code
The package.json file contains various scripts for common tasks:,DC – Deal with the code
- Create a commit and raise a Pull Request,No categories identified.
1.  Use the GitHub issue search — check if the issue has already been reported.,No categories identified.
- [ ] Git commit message is detailed and includes context behind the change,SC – Submit the changes
"Most users encounter SSHKit primarily by using Capistrano. If you have a question about using
SSHKit in context of Capistrano, please use the capistrano tag on Stack Overflow.",No categories identified.
- Prepare Commits,No categories identified.
- Function names should start with use or create in lowercases.,DC – Deal with the code
Making changes,SC – Submit the changes
Contributing,No categories identified.
"- this placeholder is used when you need to tag a subpart of something,
e.g. a list",No categories identified.
"# Build your copy
bundle exec rake build
# Build and install your copy
bundle exec rake install
# Build and install your copy without network access
bundle exec rake install:local",BW – Build local workspace
"In order to build one package and run it's test
msbuild eng\mgmt.proj /t:CreateNugetPackage /p:scope=Compute
Nuget package will be created in root directory under \artifacts\packages\Debug (default configuration is Debug)",No categories identified.
"It is possible (but not usually necessary) to build container images directly from staging in the
event that make build is not appealing. Simply stage the flavor(s) to be built, and then execute
the desired build command for daemon-base and daemon.",BW – Build local workspace
"Accessibility, security, and modern best practices are very important in AzuraCast's development. As of this document's latest update (January 2018), we are using PHP 7.2 on all platforms, so any newly contributed code can, and should, take advantage of the full suite of new features made available in PHP 7.0 and newer.",DC – Deal with the code
- Push the branch to your fork on GitHub,SC – Submit the changes
- AngleSharp.Core,No categories identified.
Reuse (supply chain),SC – Submit the changes
Attribution,No categories identified.
These are two independent repositories!,No categories identified.
"- (ret)method:(int)arg
{
// note the lack of semicolon
}",DC – Deal with the code
You can read Crowdin's getting started guide for translators here: https://support.crowdin.com/crowdin-intro/,No categories identified.
Debugging,SC – Submit the changes
You should see an output similar to this.,BW – Build local workspace
"Thank you for your interest in contributing to our project. Whether it's a bug report, new feature, correction, or additional
documentation, we greatly value feedback and contributions from our community.",No categories identified.
Reporting New Issues,No categories identified.
- Commit your changes to your branch (e.g. my-fix-branch).,CF – Contribution flow
Contributing to cucumber-rails,No categories identified.
Use the form:,SC – Submit the changes
6.  That's it!,No categories identified.
Our Pledge,No categories identified.
- Code formatting should be consistent with the style used in the existing code.,DC – Deal with the code
"- feature: new behavior, bigger than enhancement, it gives more bang to Glide",No categories identified.
Bug reports,No categories identified.
"- Behind the scenes, we conduct a number of tests or checks with new pull requests.
This is a technique that is called continuous integration, and we use Travis CI
and CircleCI. To prevent the automated tests from running, you can add [ci skip]
to your commit message. This is useful if your PR is a work in progress (WIP) and
you are not yet ready for the tests to run. For example:",SC – Submit the changes
Using Issues,CF – Contribution flow
"If you intend to change the public API, or make any non-trivial changes to the implementation, we recommend filing an issue. This lets us reach an agreement on your proposal before you put significant effort into it.",CF – Contribution flow
"- Changelog entry: whether you are fixing a bug or adding new
functionality, you should add an entry to the CHANGES.rst file that
includes the PR number. If you are opening a pull request you may not know
the PR number yet, but you can add it once the pull request is open. If you
are not sure where to put the changelog entry, wait until a maintainer
has reviewed your PR and assigned it to a milestone.",CF – Contribution flow
<url> - a link to the reduced test case,No categories identified.
"In order to contribute code to vlayout, you (or the legal entity you represent) must sign the Contributor License Agreement (CLA).",No categories identified.
- Coding Rules,No categories identified.
"- Browse the source code. Got an itch to scratch, want to tune some operation or add some feature?",CF – Contribution flow
Submitting an Enhancement For Choco,CF – Contribution flow
Protractor specific rules,DC – Deal with the code
Contributing,No categories identified.
"- When positioning curly braces, open braces on a new line and keep them flush with the outer block's indentation.",DC – Deal with the code
"- As with all pull requests, put your changes in a branch.
For contributions that change the dc.js API, create your branch off of develop.
If your contribution does not change the API, branch off of master instead.",SC – Submit the changes
- Use explicit enum types (preferably enum class) instead of ints.,DC – Deal with the code
- Don't use the private keyword as it is the default accessibility level in C#,DC – Deal with the code
"# Build image with version tag
bundle exec rake 'docker:build[false, 0.1.0]'",BW – Build local workspace
Submitting code,SC – Submit the changes
In Git terminology this is equivalent to:,SC – Submit the changes
- Push your branch to GitHub:,SC – Submit the changes
"- If the user hasn't provided enough information, keep asking for enough information to verify.",No categories identified.
Submitting Pull Requests,SC – Submit the changes
- :racehorse: :racehorse: when improving performance,SC – Submit the changes
- Running CLI integration tests,No categories identified.
"- a_method { |block| ... } and not a_method { | block | ... } or
a_method{|block| ...}.",DC – Deal with the code
"Do not disclose security issues in public. Instead, please email:",No categories identified.
"const BaseDriver = require('@cubejs-backend/query-orchestrator/driver/BaseDriver');
const FooQuery = require('./FooQuery');",No categories identified.
"3.  Leave ""pull"" in the first line.",SC – Submit the changes
"- Full steps to reproduce the issue, including minimal reproduction code. A minimal reproduction means only what is necessary to display the problem and nothing more. This is perhaps the most important thing, don't skip it!",No categories identified.
Importing checkstyle project to Netbeans,BW – Build local workspace
Write documentation,No categories identified.
Your First Code Contribution,CT – Choose a task
- Place a space between ! and variables to negate them,DC – Deal with the code
"Never fear! If you occasionally merged upstream/master, here is another way to squash your changes into a single commit:",No categories identified.
"2.  Label it with Doxygen @since tag, indicating the version it was introduced.",No categories identified.
"Please go through existing issues and pull requests to check if somebody else is
already working on it, we use someone working on it label to mark such issues.",CF – Contribution flow
"There should be a newline between a function's variables and a function's code. After that, you can place newlines to delimit different parts of a function, but don't go crazy.",DC – Deal with the code
Mail patches,SC – Submit the changes
Committing Patches,SC – Submit the changes
"We appreciate that. But before you do, please learn our basic rules:",No categories identified.
Issues with Generated Code,No categories identified.
Git Commit Messages,SC – Submit the changes
"(1).There is a specific version for each Angel version, such as branch-1.0.0, branch-1.1.0. It is our stable developing	 branch. After full testing, specific version branch will be merged to master branch for the next release.",SC – Submit the changes
- Do not change files that are not specific to the feature.,DC – Deal with the code
Pull request??????????????????????????????????????????????????????Pull request??????????????????????,No categories identified.
Here are the steps for getting setup & started with contributing to Coderwall :,CF – Contribution flow
- CLI:,DC – Deal with the code
- ? - upvote,No categories identified.
- Code Style Guide,No categories identified.
Orientation,No categories identified.
The process of signing works through GitHub.,SC – Submit the changes
After your pull request is merged,SC – Submit the changes
1.  Update the JavaScript dependencies by running ./update-js.sh (always check if it works in a browser),No categories identified.
Packages inside Amplify JS,No categories identified.
"- It may be because your code is too complex for all but a few people, and those people
may not have realized your pull request even exists. A great way to find people who
are qualified and care about the code you are touching is the
Git Blame feature. Simply
look up who last modified the code you are changing and see if you can find
them and give them a nudge. Don't be incessant about the nudging, though.",SC – Submit the changes
"Out tests utilize jest snapshot testing. In case a snapshot needs to be updated, just run:",SC – Submit the changes
"- Use spaces for indenting, not tabs",DC – Deal with the code
- APP_PRIVATE_KEY - the secret certificate provided by GitHub during app registration,BW – Build local workspace
Financial contributions,No categories identified.
"Hit F1, type > TypeScript: Restart TS Server.",BW – Build local workspace
"- Java: We also follow
Chromium's guidelines,
which are very similar to
Android's style guide, so
there should not be any big surprises.",DC – Deal with the code
"Please, be sure to properly configure your editor",No categories identified.
See these links for information about git-flow and git best practices.,SC – Submit the changes
Contributing to Astropy,No categories identified.
For maintainers: Making a release,No categories identified.
2.  Permissions to the jsbeautifier package.  File an issue here on GitHub and the appropriate person will help you.,SC – Submit the changes
4.  Run AIMSICD and wait for a key press to kill it,No categories identified.
Thank you to all the people who have already contributed to react-native-router-flux!,No categories identified.
- util or lib for changes to the utils or libraries,SC – Submit the changes
"- put your code in the doAction method (between the two  /*** HERE STARTS THE MAIN PLUGIN ACTION ***/ delimiters).
Whenever the user clicks on your plugin icon, CloudCompare will call this method.",No categories identified.
NOTE: Before you publish a release make sure the latest changes have passed the Travis CI build!,SC – Submit the changes
Grab the VirtualBox installer from here.,BW – Build local workspace
"Never include user email addresses in the internal Rails cache.
Caches are stored for reuse later, and there's always the risk that
they will accidentally presented to another user not authorized to see it.
Otherwise, please do use caches to speed repeated responses where they
make sense.  Caches are one of the key mechanisms we use to provide
rapid responses to users.",DC – Deal with the code
"When dividing your change into a series of commits, take special care to
ensure that CRIU builds and runs properly after each commit in the
series.  Developers using git bisect to track down a problem can end up
splitting your patch series at any point; they will not thank you if you
introduce bugs in the middle.",SC – Submit the changes
Private API names uipriv and be followed by a capital letter. This avoids namespace collisions in static libraries.,DC – Deal with the code
"All contributors who land a non-trivial contribution should be on-boarded in a
timely manner, and added as a committer, and be given write access to the
repository.",No categories identified.
Our Pledge,TC – Talk to the community
- ng build --prod --aot to kick off a fresh build and update the dist/ directory,SC – Submit the changes
Current TSC members,No categories identified.
"LANGUAGES = {
'en': {'flag': 'us', 'name': 'English'},
'fr': {'flag': 'fr', 'name': 'French'},
'zh': {'flag': 'cn', 'name': 'Chinese'},
}",No categories identified.
$ grunt watch,BW – Build local workspace
- Development quickstart,No categories identified.
"- feature: checkout from {module} and merge to {module} later. If {module} not exists, merge to dev",SC – Submit the changes
"- If approved through the Gitter chat, ensure an accompanying GitHub issue is created with
information and a link back to the discussion.",CF – Contribution flow
To submit a pull request,CF – Contribution flow
Revert,SC – Submit the changes
- Make your changes in a new git branch:,SC – Submit the changes
3.  Isolate the problem — create a reduced test case and a live example (using a site like Plunker).,No categories identified.
- Think you found a bug?,No categories identified.
"Block 8 are committed to PHPCI being a truly free and open source project, providing easy to use continuous integration and testing to as many developers as possible. We may, at our sole discretion, provide paid services based upon PHPCI - but PHPCI will always remain free (as in cost, and freedom) and open source.",SC – Submit the changes
"5.  When it is ready for review, remove ""WIP"" from the PR name.",CF – Contribution flow
Useful Scripts,BW – Build local workspace
Submitting a feature request,SC – Submit the changes
"If you have questions about how to use angular-bootstrap-datetimepicker, please direct these to the Gitter Chat Group.",TC – Talk to the community
- Signing the CLA,No categories identified.
Feedback and Contribution,No categories identified.
3.  Checkout a relevant branch like: git checkout master,CF – Contribution flow
Go here for more about launch configurations.,DC – Deal with the code
"3.  Create a branch and start a PR starting by [WIP], like ""[WIP] My new feature"" so everyone can follow the development.
Explain the implementation in the PR description with links to issues.",CF – Contribution flow
- Lint the code.,DC – Deal with the code
5.  you should see the following files inside:,No categories identified.
- A description of the problem/suggestion.,No categories identified.
Contributing,No categories identified.
CLI Development Version,SC – Submit the changes
- feat: A new feature,SC – Submit the changes
- Any other background information that's relevant? Are you doing something out of the ordinary? 3rd party controls?,No categories identified.
"If you have a question be sure to read
the documentation first.
Often you will find the answer to it there.",No categories identified.
"//! Getters are usually declared as const.
int 	getVar1() const 		{ return mVar1; }",No categories identified.
"2.  Modify the source; please focus on the specific change you are contributing. If you also reformat all the code, it will be hard for us to focus on your change.",SC – Submit the changes
- Pull Requests,CT – Choose a task
- test - run the automated test suite,No categories identified.
Make sure it shows up in your .env:,SC – Submit the changes
"If you agree with these principles, please read and adopt our CLA. By providing us your contributions, you hereby declare that you have already read and adopt our CLA, and we may freely merge your contributions with our corresponding open source project and use it in further in accordance with terms and conditions of the CLA.",SC – Submit the changes
- Use a clear and descriptive title that identifes the suggestion.,No categories identified.
- Run the code and use it as the end user would.,No categories identified.
"Please be receptive and responsive to feedback about your additions or changes. The core team and/or other community members may make suggestions or ask questions about your change. This is part of the review process, and helps everyone to understand what is happening, why it is happening, and potentially optimizes your code.",SC – Submit the changes
"5.  We may choose not to accept pull requests that change files in the src/data
directory, since we generate these files based on our internal knowledge of
the AWS services. Please check in with us ahead of time if you find a mistake
or missing feature that would affect those files.",DC – Deal with the code
Then you can create a Pull Request at G2.,SC – Submit the changes
4.  Ensure the test suite passes.,CF – Contribution flow
- Create a branch based on master; git branch   fix/master/my_contribution master then checkout the new branch with git   checkout fix/master/my_contribution.  Please avoid working directly on the master branch.,SC – Submit the changes
- To create all default staging directories: make stage,DC – Deal with the code
The pattern is simple:,No categories identified.
2.  Run the script on several courses to check sanity,No categories identified.
Support,No categories identified.
- StackOverflow's voting system assures that the best answers are prominently visible.,No categories identified.
If you want to make changes to the Cube.js client packages and test them locally in your project you can do it the following way:,No categories identified.
"5.  Send us a pull request, answering any default questions in the pull request interface.",SC – Submit the changes
"Where changes to an existing interface are necessary, functions in the public interface which need to be changed, are marked as 'deprecated'. This is done with the preprocessor symbols MBEDTLS_DEPRECATED_WARNING and MBEDTLS_DEPRECATED_REMOVED. Then, a new function with a new name but similar if not identical behaviour to the original function containing the necessary changes should be created alongside the existing deprecated function.",No categories identified.
"import * as A from '../action-types';
import * as T from '../../types';",DC – Deal with the code
7.  Pat your self on the back and wait for your pull request to be reviewed and merged.,CF – Contribution flow
How to report a bug,No categories identified.
Use arc collections and classes when possible.,DC – Deal with the code
- dotnet msbuild eng\mgmt.proj /t:CreateNugetPackage /p:scope=Compute,No categories identified.
"This software is made available under the MIT License.
For the text of the license, see the LICENSE file.",SC – Submit the changes
- Typing,No categories identified.
- Modular: even at the price of performance and even (although less desired) at the price of keeping things DRY.,DC – Deal with the code
git rebase -i upstream/master,CF – Contribution flow
Code of Conduct,TC – Talk to the community
"<type>(<scope>): <subject>
<BLANK LINE>
<body>
<BLANK LINE>
<footer>",SC – Submit the changes
"By contributing to this project you agree to the Developer Certificate of
Origin (DCO). This document was created by the Linux Kernel community and is a
simple statement that you, as a contributor, have the legal right to make the
contribution. See the DCO file for details.",SC – Submit the changes
"git clone https://github.com/dalelotts/angular-bootstrap-datetimepicker.git
cd angular-bootstrap-datetimepicker
npm install
git checkout -b my-fix-branch develop  # all patches against develop branch, please!
npm test              # this runs lint, complexity checks, and unit tests.",BW – Build local workspace
If you want to contribute an enhancement or a fix:,CF – Contribution flow
- Found a bug? You're more than welcome to submit an issue,CT – Choose a task
General,TC – Talk to the community
- Submit issue reports to the correct repository:,No categories identified.
"- Expresses that product need in a way that doesn't imply a specific technical
solution allowing for debate as to the best way to solve the problem.",No categories identified.
- npm run watch: Continuously compiles the source and runs the test suite (when either source or tests change).,DC – Deal with the code
Modifying Tests,SC – Submit the changes
4.  Create your own feature branch: git checkout -b proposed-feature,CF – Contribution flow
"Unfortunately we are not able to investigate / fix bugs without a minimal reproduction, so if we don't hear back from you we are going to close an issue that don't have enough info to be reproduced.",No categories identified.
Copyright,SC – Submit the changes
GitHub Workflow,CF – Contribution flow
"- rails_best_practices - check Ruby against rails best practices
using the gem
rails_best_practices",No categories identified.
"- AChecker, https://achecker.ca/checker/index.php, a web accessibility
checker.  This tool looks for web accessibility problems.
We typically check the following paths
(these are key forms in the system): ""/"", ""/signup"", ""/login"",
""/projects"", and ""/projects/1"".
Our goal is to have no known problems and no likely problems per this tool
(this was true on 2017-06-03).
The ""potential problems"" list is very noisy, so we don't worry
about that list as much.",No categories identified.
This project follows the TypeScript variation of Standard JavaScript code style.,DC – Deal with the code
- Snippet descriptions must be short and to the point. Explain what the snippet does and detail how the snippet works and the language features used in it.,DC – Deal with the code
- GitHub pull request documentation,CF – Contribution flow
1.  Remove the existing copy of the library: rm -Rf vendor/api-platform/core,SC – Submit the changes
- How to reproduce it. Bugs with a failing test in a pull request get fixed much quicker. Some bugs may never be fixed.,No categories identified.
"- Make sure to update the PR title/description if things change. The PR title/description are going to be used as the
commit title/message and will appear in the CHANGELOG, so maintain them all the way throughout the process.",SC – Submit the changes
"- Commit your changes using a descriptive commit message that follows our
commit message conventions. Adherence to these conventions
is necessary because release notes are automatically generated from these messages.",SC – Submit the changes
"For the more major features, there are the following that you can give a try. They are also described in more detail in the project list:",CT – Choose a task
- Install gem dependencies with bundle install,BW – Build local workspace
"First, in terms of structure, there is no particular concept of ""Bitcoin Core
developers"" in the sense of privileged people. Open source often naturally
revolves around a meritocracy where contributors earn trust from the developer
community over time. Nevertheless, some hierarchy is necessary for practical
purposes. As such, there are repository ""maintainers"" who are responsible for
merging pull requests, as well as a ""lead maintainer"" who is responsible for the
release cycle as well as overall merging, moderation and appointment of
maintainers.",No categories identified.
"- If you do not have the skills, then please take the time to clearly think through the request. Is is appropriate for all users of Gekko?  If so, create a new issue containing the following:",No categories identified.
- Built in Node Modules (such as path),DC – Deal with the code
"- Use noexcept whenever it makes sense and as long as it does not limit future
design space. Move construction and assignment are natural candidates for
noexcept.",DC – Deal with the code
"Make sure you have Bash installed per the Environment setup in the
README.",BW – Build local workspace
"- No pull requests will be accepted that drop test coverage on any platform, including Windows",No categories identified.
"- Add unit tests where needed to cover edge cases which are not (directly)
relevant for users.",SC – Submit the changes
"$ cd debug-build
$ ctest -j 4 --output-on-failure -C Debug",SC – Submit the changes
* **module-name:** Yet another breaking change,No categories identified.
- Commit messages contain a 50 char summary line (see git-style-guide for details on this),SC – Submit the changes
- What actually happens,No categories identified.
"2.  The issue has already been fixed (check the develop branch, or look for closed Issues)",No categories identified.
- Frontend Testing,No categories identified.
"- Play with the project, submit bugs, submit patches!",CF – Contribution flow
- Public or private harassment,TC – Talk to the community
"Before writing any code, please file an issue stating the problem you want to solve or the feature you want to implement. This allows us to give you feedback before you spend any time writing code. There may be a known limitation that can't be addressed, or a bug that has already been fixed in a different way. The issue allows us to communicate and figure out if it's worth your time to write a bunch of code for the project.",CF – Contribution flow
Code contributions are welcome! Please commit any pull requests against the master branch.,SC – Submit the changes
"Each commit message consists of a header, a body and a footer.  The header has a special
format that includes a type, a scope and a subject:",SC – Submit the changes
"- Once the pull request is in, please do not delete the branch or close the pull request
(unless something is wrong with it).",SC – Submit the changes
2.  Publish your work to Github (and GitHub pages) so everyone can learn from your work.,CT – Choose a task
alias logrep='logcat -d -v time -b main -b system -b radio|grep -iE $@',No categories identified.
"- Rebase your branch and force push to your GitHub repository (this will update your Pull
Request):",SC – Submit the changes
- Send us a pull request.,SC – Submit the changes
4.  (Required for YAML file changes) These are the specifications for the YAML files -,CF – Contribution flow
- Open bug entries for JMeter,No categories identified.
NOTE: The issues section is for bug reports and feature requests only.,No categories identified.
- Update your master with the latest upstream version:,SC – Submit the changes
"- To publish a package with the beta dist-tag, you can choose to release rc?beta?alpha versions, the tag will not be created.",No categories identified.
- It DOES NOT matter what country you live in or what your local laws say.,No categories identified.
"If you want to see the entire commit, use:",SC – Submit the changes
10. Commit your changes git commit -am 'Added some feature',CF – Contribution flow
- yarn install,BW – Build local workspace
If the PR gets too outdated we may ask you to rebase and force push to update the PR:,SC – Submit the changes
Getting Started,CF – Contribution flow
Breaking Changes should start with the word BREAKING CHANGE: with a space or two newlines. The rest of the commit message is then used for this.,SC – Submit the changes
"Contributions to PHPCI are very much encouraged, and we do our best to make it as welcoming and simple as possible.",No categories identified.
"The following rules are not strictly enforced, but if you follow them, you will make it easier for us to review your changes.",SC – Submit the changes
"If you are interested in being a contributor and want to get involved in developing Geodesic, we would love to hear from you! Shoot us an email.",TC – Talk to the community
You should have JDK 1.8 or later installed in your system.,BW – Build local workspace
"- Once you feel it is ready, submit the pull request to the cake-build/cake repository against the develop branch
unless specifically requested to submit it against another branch.",SC – Submit the changes
- A use-case for the feature.,No categories identified.
A couple requirements:,SC – Submit the changes
Title and Description for the Pull Request,SC – Submit the changes
5.  Actual result:,No categories identified.
- Update your local dev by fetching from upstream,SC – Submit the changes
tcpdump and webserver modules,No categories identified.
Pull Request Titles,SC – Submit the changes
Scope,SC – Submit the changes
References,No categories identified.
"Here are some helpful guidelines to keep in mind when contributing.  While following them isn't absolutely required, it does help everyone to accept your pull-requests with maximum awesomeness.",SC – Submit the changes
"- New APIs MUST be easy to use, familiar to cocos2d-x users",DC – Deal with the code
- Use EditorConfig.,DC – Deal with the code
"Vagrant is the recommended way to run Coderwall on your own machine. You need to download and install.
Grab the Vagrant installer from here.
At the time of writing this documentation the current version is Vagrant 1.6.5.",BW – Build local workspace
Windows-specific notes,DC – Deal with the code
"Your effort might be lost if it's already in progress, or if there is a disagreement about approach, etc.",CF – Contribution flow
- Announce and discuss your plans in GitHub before starting work.,CF – Contribution flow
- Code of Conduct,No categories identified.
- No unnecessary whitespace. Check for whitespace with git diff --check and git diff --cached --check before commit.,SC – Submit the changes
"Thank you for your interest in contributing the AWS SDK for Java! We work hard
to provide a high quality and useful SDK for our customers, and we appreciate
your interest in helping us and the rest of our community of users. We welcome
bug reports, feature requests, and code contributions.",No categories identified.
- [ ] Bug fix / feature has associated tests,SC – Submit the changes
"Once a PR has been made, the Continuous Integration (CI) tests are triggered and run. You should follow the result of the CI tests, and fix failures.",SC – Submit the changes
- Be a power beta tester. Make it your mission to track down bugs and report them to us on GitHub.,No categories identified.
"The following is a set of guidelines for contributing to the IRremoteESP8266 library, hosted on GitHub. These are guidelines, not rules. Use your best judgment, and feel free to propose changes to this document in a pull request.",No categories identified.
- Fixing a typo,No categories identified.
"When a new version is ready to be released, please create a pull request to merge development into master, named something like ""Release 10.0"". Then we can have some final discussion before we merge it into master and push the release out to the public.",SC – Submit the changes
- Enhancement requests for JMeter,No categories identified.
"Submit issues or feature requests to the issue tracker.  If your issue pertains to an extension, you should file the issue on that extension's issue tracker instead.",No categories identified.
Pull request????????????????????BoostIO????????????????????,No categories identified.
"npm run lint;
npm run test:jest;",DC – Deal with the code
"Remember to replace the emoji in the readme, being careful not to replace the ones in all-contributors if any overlap.",No categories identified.
Version Component | Description,No categories identified.
Dev-flow & Pull Requests,No categories identified.
postgres,BW – Build local workspace
"Note that the git send-email subcommand may not be in
the main git package and using it may require installation of a
separate package, for example the ""git-email"" package in Fedora and
Debian.",SC – Submit the changes
"- Win7, Win 8, Win10, etc?",No categories identified.
Bugs/usage issues,No categories identified.
Run the following to clear out stale build artifacts:,BW – Build local workspace
"- Small Changes can directly be crafted and submitted to the GitHub Repository
as a Pull Request. See the section about Pull Request Submission Guidelines, and
for detailed information the core development documentation.",No categories identified.
- git - source control,BW – Build local workspace
- Check to make sure your feature suggestion isn't already present within the project.,CF – Contribution flow
"| Field                     | Type            | Notes                       |
| ------------------------- | --------------- | --------------------------- |
| metrics                 | array(string) | See Query section           |
| order_asc               | -               | See Query section           |
| row_limit               | -               | See Query section           |
| timeseries_limit_metric | -               | See Query section           |",No categories identified.
2.  Read and complete all relevant sections of the PR template,SC – Submit the changes
"- If you are using WinForms run
cefclient.exe --multi-threaded-message-loop --no-sandbox --disable-site-isolation-trials",No categories identified.
:star2: Have a patch,SC – Submit the changes
"- File an issue or PR in this repository. Issues don't need to be bug reports;
usage questions or suggests are fine.",TC – Talk to the community
e.g.,SC – Submit the changes
- Describe the behavior you observed after following the steps and point out what exactly is the problem with that behavior.,No categories identified.
"- Types (classes, structs, enums, typedefs...) should be named with UpperCamelCase.",DC – Deal with the code
"- Before opening a new issue, look for existing issues to avoid duplication. If the issue does not yet exist, create one.",No categories identified.
"In a fixture test, you simply write out the code you want to transform in input.js.",SC – Submit the changes
Tasks,BW – Build local workspace
4.  Run the ANTLR project unit tests,CF – Contribution flow
Closes #392,SC – Submit the changes
Code of Conduct,TC – Talk to the community
"action-types contains the list of possible action types, not surprisingly, as well as the helper types for writing action creators and reducers.",DC – Deal with the code
Closes #234,SC – Submit the changes
git push origin awesome-feature;,SC – Submit the changes
- Make up a new slug for the linked resource like https://on.cypress.io/my-special-link.,SC – Submit the changes
- Writing Code,No categories identified.
2.  Click Fork button (top right) to establish a cloud-based fork.,CF – Contribution flow
"The root package.json includes global devDependencies (see
lerna docs) on the topic.",SC – Submit the changes
- Help with translations,No categories identified.
- You can also try build.debug.bat - note that it is newer and it may have an issue or two. It doesn't require --allow-unofficial-build as the binaries are built for debugging.,No categories identified.
3.  Each commit is hopefully a happy-commit,SC – Submit the changes
Opening Issues,No categories identified.
"Else, check the roadmap to see what we plan to do in next releases:",CT – Choose a task
- Make the required updates.,CF – Contribution flow
"For general information about samples, see the Samples Guidelines",No categories identified.
"- You can also right click on a folder (and solution folder), a project, or the solution and run tests.",SC – Submit the changes
"5.  Add local library to the example app, and add remote urls for CDN (cdnjs works great.) in the config.",DC – Deal with the code
- IRC: irc.freenode.org #chaijs,TC – Talk to the community
"- After you made your translations, ensure that you added your locale key in alphabetical order at line in the tests/TestCase.php file for the tests.",DC – Deal with the code
- test: Adding missing tests or correcting existing tests,SC – Submit the changes
"For GUI-related issues or pull requests, the https://github.com/bitcoin-core/gui repository should be used.
For all other issues and pull requests, the https://github.com/bitcoin/bitcoin node repository should be used.",CF – Contribution flow
Thank you to all the people who have already contributed to jquery-adaptive-backgrounds!,No categories identified.
- Spaces delimited with underscores,No categories identified.
Issue Reporting Guidelines,No categories identified.
"- Add a new ""Unreleased"" section at top",SC – Submit the changes
"- If possible, don't. While this capability is one of Bash's core strengths,
every new process created by Bats makes the framework slower, and speed is
critical to encouraging the practice of automated testing. (This is especially
true on Windows, where process creation is one or two orders of magnitude
slower. See bats-core/bats-core#8 for an illustration of
the difference avoiding subshells makes.) Bash is quite powerful; see if you
can do what you need in pure Bash first.",DC – Deal with the code
git push -u origin feature/#777,SC – Submit the changes
"git rebase master -i
git push -f",SC – Submit the changes
"Project maintainers are responsible for clarifying the standards of acceptable
behavior and are expected to take appropriate and fair corrective action in
response to any instances of unacceptable behavior.",No categories identified.
"NOTE: In the past, the Lucene.NET project used the JIRA issue tracker, which has now been deprecated. However, we are keeping it active for tracking legacy issues. Please submit any new issues to GitHub.",No categories identified.
