Paragraph,Label
Feature request,No categories identified.
"Thank you for your interest in contributing to our project. Whether it's a bug report, new feature, correction, or additional
documentation, we greatly value feedback and contributions from our community.",No categories identified.
Declaring formal releases remains the prerogative of the project maintainer.,No categories identified.
Must be one of the following:,SC – Submit the changes
- Delete the remote branch on GitHub either through the GitHub web UI or your local shell as follows:,SC – Submit the changes
Breaking Changes should start with the word BREAKING CHANGE: with a space or two newlines. The rest of the commit message is then used for this.,SC – Submit the changes
1.  Post your question on the Xamarin Forums.,TC – Talk to the community
Branch Strategy,No categories identified.
"- If you commit a new feature, be prepared to help maintaining it. Watch the project on GitHub, and please comment on issues or PRs regarding the feature you contributed.",SC – Submit the changes
Thank you to all our backers! [Become a backer],No categories identified.
"After your pull request is merged, you can safely delete your branch and pull the changes
from the main (upstream) repository:",SC – Submit the changes
- Adding Dependencies,No categories identified.
"If you do not have push access to the repository, please fork it. You should then work on your own master branch.",No categories identified.
"- One pull request per feature - If you want to do more than one thing, send multiple pull requests.",SC – Submit the changes
"Because of the range of databases DbUp supports, it is not feasible to do automated integration testing. Instead DbUp takes a different approach:",SC – Submit the changes
"To run a specific test method (e.g., TestDgp.test_product), use",SC – Submit the changes
The main differences between the release and debug mode are:,No categories identified.
"And, if you want to always use it, you can install it as a git hook (hence the name, pre-commit):",SC – Submit the changes
"Guidelines for Contributing Code, Examples, Documentation",No categories identified.
For testing FTP and SFTP at the same time tests can be parametrized. Take a look at the CommitFileTest.php:,SC – Submit the changes
Contributing to Cypress,No categories identified.
"This project uses karma with mocha and chai for testing in the browser. Be sure to test ReactPlayer after making changes and, if you",SC – Submit the changes
tox -e <environment> -- tests/test_file.py,SC – Submit the changes
*   http://www.apache.org/licenses/LICENSE-2.0,No categories identified.
- Add spacings between the php begin and end tag.,DC – Deal with the code
"If you catch a typo or error in the documentation, we'd greatly appreciate a
pull request.",CT – Choose a task
Use Code Style for Java and Scala .,DC – Deal with the code
"GitHub search makes it easy to use labels for finding groups of issues or pull requests you're interested in. For example, you might be interested in open issues across atom/atom and all Atom-owned packages which are labeled as bugs, but still need to be reliably reproduced or perhaps open pull requests in atom/atom which haven't been reviewed yet. To help you find issues and pull requests, each label is listed with search links for finding open items with that label in atom/atom only and also across all Atom repositories. We  encourage you to read about other search filters which will help you write more focused queries.",No categories identified.
- We love pull requests. But if you don't have a test to go with it we probably won't merge it.,SC – Submit the changes
"remote: Create a pull request for 'master' on GitHub by visiting:
remote:      https://github.com/YOUR_USERNAME/use-http/pull/new/master",SC – Submit the changes
6.  Test your changes and submit a pull request when we shall add it.,No categories identified.
You can request a new feature by submitting an issue to our GitHub Repository.,No categories identified.
Pull Request Guidelines,SC – Submit the changes
Compiling MonoTorrent,No categories identified.
Issues,No categories identified.
"- When adding files, please use the existing file naming conventions, e.g. plugin files need to end in .plugin.bash.
This is important for the installation functionality.",DC – Deal with the code
Here is a great example of a well defined issue: https://github.com/angular/angular.js/issues/5069.,No categories identified.
"$ git config --global diff.hex.textconv hexdump
$ git config --global diff.hex.binary true",SC – Submit the changes
"Thanks for your interest in bash-lib. Before contributing, please take a
moment to read and sign our Contributor
Agreement. This provides
patent protection for all bash-lib users and allows CyberArk to
enforce its license terms. Please email a signed copy to oss@cyberark.com",SC – Submit the changes
6.  Ensure build.cmd/build.sh runs with no errors or warnings and all the tests pass.,No categories identified.
"By contributing to this project you agree to the Developer Certificate of
Origin (DCO). This document was created by the Linux Kernel community and is a
simple statement that you, as a contributor, have the legal right to make the
contribution. See the DCO file for details.",SC – Submit the changes
"- Snippets must have all their frontmatter sections (title, tags etc.) filled.",DC – Deal with the code
- Maximum line width for code and comments: 100,DC – Deal with the code
Backers,No categories identified.
This project has adopted the Microsoft Open Source Code of Conduct. For more information see the Code of Conduct FAQ or contact opencode@microsoft.com with any additional questions or comments.,TC – Talk to the community
"- MATLAB version, if relevant.",No categories identified.
1.  Fork the project on GitHub,No categories identified.
You can also amend the initial commits and force push them to the branch.,No categories identified.
Running tests,SC – Submit the changes
- Update your master with the latest upstream version:,SC – Submit the changes
"- If you already made the commit without including this string, you can edit
your existing commit message by running:",SC – Submit the changes
- Clone the aelf repository from Github.,No categories identified.
<type>(<scope>): <subject>,No categories identified.
- Updating ...,SC – Submit the changes
type Props = OwnProps & StateProps & DispatchProps;,DC – Deal with the code
"- In almost all cases, code & documentation should be peer-reviewed by at least one other contributor.",SC – Submit the changes
master is for the current release. It has already been distributed to jcenter and can't be modified at this point (except for docs that may be incorrect for the current release!).,SC – Submit the changes
General house keeping,No categories identified.
"This project is open source, and as such, the maintainers give their free time to build and maintain the source code held within. They make the code freely available in the hope that it will be of use to other developers. It would be extremely unfair for them to suffer abuse or anger for their hard work.",No categories identified.
Ensure that each pull request meets all requirements in checklist.,No categories identified.
- Please follow Style Guide for Python Code.,DC – Deal with the code
Contributor Guidelines,No categories identified.
- Specify the name and version of the OS you're using.,No categories identified.
"- BREAKING CHANGE: for changes that break existing usage, e.g. change API of a component.",SC – Submit the changes
"The documentation is automatically generated from the TypeScript annotations in the components. You can add comments above the type annotations to add descriptions. To preview the generated documentation, run yarn docs start in the project root.",No categories identified.
Code Style Guide,DC – Deal with the code
"For each new file, please include a license at the top of the file.",SC – Submit the changes
- Include any relevant stack traces or debugging output.,No categories identified.
"- It is required that you clearly describe the steps necessary to reproduce the issue you are running into. Issues with no clear repro steps will not be triaged. If an issue labeled ""need repro"" receives no further input from the issue author for more than 5 days, it will be closed.",No categories identified.
"We would love for you to contribute to AngularFire and help make it even better than it is
today! As a contributor, here are the guidelines we would like you to follow:",No categories identified.
Footer,SC – Submit the changes
Commit message convention,SC – Submit the changes
"All submissions, including submissions by project members, require review.
We use GitHub pull requests for this purpose.",SC – Submit the changes
Etiquette,No categories identified.
"- If you are adding a new behavior or changing an existing behavior, please be sure to update the corresponding test(s)",SC – Submit the changes
"Note that these are NOT for user tech support, and are moderated
for new users to prevent off-topic discussion.",TC – Talk to the community
"If you're changing the structure of the repository, please create an issue first.",SC – Submit the changes
$ git rebase -i contiki-orig/master,SC – Submit the changes
"- If you change APIs, make sure to update the module's README file",SC – Submit the changes
Coding Standards,DC – Deal with the code
- This helps prevent mistakes such as if (a & 1 == 0),No categories identified.
There will inevitably be suggestions that will not fit within the scope of Cypress's vision for our product. If an issue or pull request falls under this category you should:,No categories identified.
Verdaccio is a lightweight private npm proxy registry built in Node.js. Install Verdaccio. You can setup veradaccio to publish packages locally to test the changes.,SC – Submit the changes
Report bugs,No categories identified.
Submitting Your Patch!,SC – Submit the changes
- Run Examples,No categories identified.
"Unless required by applicable law or agreed to in writing, software
distributed under the License is distributed on an ""AS IS"" BASIS,
WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
See the License for the specific language governing permissions and
limitations under the License.
""""""",SC – Submit the changes
- Install - The shared library to provide Installation Tokens to the functions,BW – Build local workspace
ObjectRef getObject() const;,DC – Deal with the code
- Constants and macros should be in ALL CAPS and words separated by underscores. Example: PLAYER_COUNT,DC – Deal with the code
If you are using command-line you can do the following:,SC – Submit the changes
"When you send a PR, just make sure that:",SC – Submit the changes
Tests,SC – Submit the changes
"You must ensure a consistent behavior on all supported version. If it is not possible, you must ensure a correct behavior.",DC – Deal with the code
Contributing to Boostnote (Russian),No categories identified.
How Do I Submit A (Good) Bug Report?,No categories identified.
$ yarn build --scope @aws-amplify/auth,BW – Build local workspace
"Then additional variables (import_variables and import_configs) are
then merged and take precedence over local variables.",DC – Deal with the code
"$ cd <your work direcotry>
$ git clone < your personal forked dolphinscheduler repo>
$ cd incubator-dolphinscheduler",BW – Build local workspace
- Comment new code that isn't very obvious in it's function.,DC – Deal with the code
Fork the compodoc project,BW – Build local workspace
- XML styleguide,No categories identified.
"- Java: We also follow
Chromium's guidelines,
which are very similar to
Android's style guide, so
there should not be any big surprises.",DC – Deal with the code
- ArangoDB website,No categories identified.
"See the following example of a snippet C# file and a snippet markdown file.
Note that snippet names need to be globally unique under a given service directory.",No categories identified.
- docs: Documentation only changes,SC – Submit the changes
- Every public api event/method should be accompanied by a test.,SC – Submit the changes
This section should get you running with Amplify JS and get you familiar with the basics of the codebase. You will need the latest version of nodejs on your system and developing locally also requires yarn workspaces. You can install it here.,BW – Build local workspace
"- use the imperative, present tense: ""change"" not ""changed"" nor ""changes""",SC – Submit the changes
- Look at the roadmap,No categories identified.
- Submission Guidelines,No categories identified.
- Make use of already-defined __VAR__ files when possible to maximize reuse.,DC – Deal with the code
- Snippet should only use native python 3.6 modules. Snippets using external modules will be disqualified immediately.,DC – Deal with the code
"The easiest way to contribute is to open an issue and start a discussion.
Then we can decide if and how a feature or a change could be implemented and if you should submit a pull requests with code changes.",No categories identified.
Feature Requests,No categories identified.
- Include screenshots of the expected and actual output,No categories identified.
Contributing via Pull Requests,No categories identified.
"The point to remember is that each commit should make an easily understood
change that can be verified by reviewers.  Each commit should be justifiable
on its own merits.",SC – Submit the changes
- an additional endpoint is available at /force-exit which force restarts the backend service,No categories identified.
Babylon.js is built upon 3 golden rules:,DC – Deal with the code
- Make changes to the files in src/ not dc.js.,DC – Deal with the code
"$ git add -A
$ git commit
$ git push origin issue1234",SC – Submit the changes
- Make your changes in a new git branch:,SC – Submit the changes
"If you speak a foreign language, you can help translate Jetpack into your own language. here is how.",No categories identified.
"Explain the motivation for the change in the commit message body. This commit message should explain why you are making the change.
You can include a comparison of the previous behavior with the new behavior in order to illustrate the impact of the change.",SC – Submit the changes
- Be sure to add a test for each change you make,SC – Submit the changes
"8.  We greatly appreciate contributions to our User Guide. The docs are written
as a Sphinx website formatted with reStructuredText (very similar to
Markdown). The User Guide is located in another repository. Please go to the
awsdocs/aws-php-developers-guide.
repository to suggest edits for the User Guide.",No categories identified.
npm install -g karma-cli,SC – Submit the changes
"- Avoid having to fork the project if you want to submit other pull requests, as you will be able to create branches directly on the project.",No categories identified.
4.  Test all functions of our app and check for possible translation bugs.,No categories identified.
Before reporting a bug,No categories identified.
git checkout -b my-fix-branch master,No categories identified.
"- Don't use type flags with declare or local. Assignments to integer
variables in particular may behave differently, and it has no effect on array
variables.",DC – Deal with the code
- Suggested to use English.,No categories identified.
Submitting a Pull Request (PR),SC – Submit the changes
"All pull requests should target the master branch, with a planned 3.0 major release.",SC – Submit the changes
How can I contribute?,CT – Choose a task
Example:,No categories identified.
"If you are using SSHKit directly, or if you think you've found a bug in SSHKit, please open a
GitHub issue.",No categories identified.
- squashing a bug,CT – Choose a task
- Gracefully accepting constructive criticism,No categories identified.
"- CUDA version, if applicable (run nvcc --version to check),",No categories identified.
"To make it easy for you to contribute to our game engine, the Lumberyard development team adheres to the following coding conventions. We believe that these guidelines keep the engine code consistent and easy to understand so that you can spend less time interpreting code and more time coding. We look forward to your contributions!",DC – Deal with the code
"Both of these are compiled against the single-header distribution of
Catch2, and thus might require you to regenerate it manually. This is
done by calling the generateSingleHeader.py script in scripts.",SC – Submit the changes
"Xamarin has a two additional support channels for you.  If your question or bug report is UITest or Test Cloud related, your best chance of quick, accurate response will be on one of these channels.",TC – Talk to the community
"If you're thinking of contributing code or documentation to the
project, please review Submitting Pull Requests before beginning any work.",No categories identified.
- Add tests! - Your patch won't be accepted if it doesn't have tests.,SC – Submit the changes
"- If you choose to run the server locally as well, follow the instructions here.",BW – Build local workspace
- Commit your changes using a descriptive commit message that follows our commit message conventions. Adherence to these conventions is necessary because release notes are automatically generated from these messages.,SC – Submit the changes
"So, you should fork the dev branch.",BW – Build local workspace
"- For function definitions, place each brace on its own line.",DC – Deal with the code
"- To help with that, do all your work in a feature branch (e.g. feature/my-alsome-feature).",SC – Submit the changes
"git checkout master
git pull upstream master",SC – Submit the changes
- the current state of the code,No categories identified.
- no dot (.) at the end,SC – Submit the changes
To contribute follow the next steps:,No categories identified.
npm run watch,DC – Deal with the code
Formatting,DC – Deal with the code
- Building the project,No categories identified.
Contributing policy,No categories identified.
2.  Specify the details of vv and your system. ( vv --debug-vv to get this.),No categories identified.
"<type>(<scope>): <subject>
<BLANK LINE>
<body>
<BLANK LINE>
<footer>",SC – Submit the changes
refactor(content): prefix mdContent scroll- attributes,SC – Submit the changes
Pull Request Guidelines,SC – Submit the changes
git clone https://github.com/yourusernamehere/Bash-Snippets,No categories identified.
Make a patch,SC – Submit the changes
"Be considerate: Your work will be used by other people, and you in turn will depend on the work of others. Any decision you take will affect users and colleagues, and you should take those consequences into account when making decisions. Remember that we",TC – Talk to the community
Follow this process if you'd like your work considered for inclusion in the project:,No categories identified.
"- Automated Testing - Any type of written test that can be run in an automated way, typically in the form of C# tests.",No categories identified.
?? ?? ?? ???? ???? ??,No categories identified.
10. Push your branch to GitHub:,No categories identified.
Steps,No categories identified.
"The default values are localhost, root, no password, 3306, and utf8.
You only need to set the values that differ from the defaults.",SC – Submit the changes
"It is worth looking at other libraries out there to see how they do drag and drop. Things to look at is their philosophy and api. react-beautiful-dnd is an opinionated, higher level abstraction than most drag and drop libraries. We do not need to support every use case. We need to find the right level of control while still maintaining a beautiful experience for the user, flexibility of use and a clean, powerful api.",DC – Deal with the code
Replace <my-snippet-name> with the name of the snippet you are adding.,BW – Build local workspace
- cfg_yaml.py: the lower level config parser,DC – Deal with the code
- Snippet descriptions must be short and to the point. Explain what the snippet does and detail how the snippet works and the language features used in it.,DC – Deal with the code
Start your app using Heroku Local,BW – Build local workspace
"Once this version listed in the global.json file is installed the solution will open with all the projects loaded. If the correct versions of the SDKs for Android, UAP and Xamarin are not installed there are error messages at build time that contain instructions on how to proceed.",No categories identified.
- Finding dependency cycles between packages,No categories identified.
AWS Amplify CLI is Apache 2.0-licensed. Contributions you submit will be released under that license.,SC – Submit the changes
- there are thousands of people willing to help on Stack Overflow,No categories identified.
"Any line of the commit message cannot be longer 100 characters! This allows the message to be easier
to read on GitHub as well as in various git tools.",SC – Submit the changes
- Check for \/\/$ (vi syntax) to catch leftover // ?,No categories identified.
I don't want to read this whole thing I just have a question!!!,No categories identified.
"- blocked: We will generally mark an issue as blocked if it requires more context for us to fix, is waiting on an updated version of a library that the issue depends on, or is waiting on a maintainer to do something before it can be answered. There may be other conditions in which we'll mark an issue as blocked, and we'll make this clear in the issue comments.",CT – Choose a task
The Actionhero community,No categories identified.
Contributions,No categories identified.
- Actual response,No categories identified.
Please make sure the email client you're using doesn't screw your patch (line wrapping and so on).,SC – Submit the changes
"3.  File a pull request with this markdown file. The title of the PR should
indicate rfc: <nnnn> <same as issue title>.",SC – Submit the changes
- Compiler environment support (doc/design/compiler-environment-support.md),No categories identified.
"- Verify that typescript, eslint and all tests are passing.",SC – Submit the changes
"When adding or changing functionality, please include new tests for them as
part of your contribution.",SC – Submit the changes
Want to contribute?,No categories identified.
- CSharp,No categories identified.
- Add accompanying test case.,SC – Submit the changes
"Features (things that add new or improved functionality) may be accepted, but will need to first be approved (tagged with ""Enhancement"") in the issue.",No categories identified.
"- The compiler is throwing errors on files that I renamed/it's running old tests that I meant to remove/code coverage is
low and I didn't change anything.",BW – Build local workspace
"If you would like to see a feature added to the library, here is what you do:",No categories identified.
"HI! Thanks you for your interest in Puppeteer Recorder! We'd love to accept your patches and contributions, but please remember that this project was started first and foremost to serve the users of the Checkly API and Site transaction monitoring service.",No categories identified.
- UI-Router Core (@uirouter/core on npm),BW – Build local workspace
"If there are errors building the packages, prefix the commands with DEBUG=cypress:* to see more details.",BW – Build local workspace
- There are a small number of commits that each have an informative message,SC – Submit the changes
Please use the issue tracker to report any bugs or file feature requests.,No categories identified.
Contributing,No categories identified.
"6.  Finally, submit a pull request with your changes!",No categories identified.
- Add the type: question label to the issue.,No categories identified.
"If you love Recommendable and/or my other contributions to open source, please consider making a small Gittip to support me. Thank you!",No categories identified.
npm test,SC – Submit the changes
- markdownlint,DC – Deal with the code
Help Your Fellow A-Framers,CT – Choose a task
"If you are reporting a bug, please include:",No categories identified.
"Important: Please review the Submission Guidelines below, before contributing to the
project.",No categories identified.
On-boarding New generated code library,No categories identified.
- Have I implemented my feature for as many database adapters as possible?,No categories identified.
"We may have feedback for you in the form of requested changes or fixes. We generally like to see that pushed against the same topic branch (it will automatically update the PR). You can also fix/squash/rebase commits and push the same topic branch with --force (while it is generally acceptable to do this on topic branches not in the main repository, a force push should be avoided at all costs against the main repository).",SC – Submit the changes
- See http://chris.beams.io/posts/git-commit for more tips on writing good commit messages.,SC – Submit the changes
- Veselin Todorov,TC – Talk to the community
Working on your first pull request? You can learn how from this free series: How to Contribute to an Open Source Project on GitHub.,No categories identified.
"Until we get to know each other, it is probably a good idea for new contributors to pick something relatively focused and small that they would like to work on.
Try to follow good open source contribution etiquette, and try not to be a code wanderer.",CT – Choose a task
Formatting,DC – Deal with the code
- list,SC – Submit the changes
Unit tests,SC – Submit the changes
"- Making art with Aseprite and for Aseprite (logos, skins, mockups).",TC – Talk to the community
"Feel free to ask for help; everyone is a beginner at first :smile_cat:
Make sure to make your commit messages informative and concise.",No categories identified.
Security issue notifications,No categories identified.
Sign the Contributor License Agreement,SC – Submit the changes
- Contribution Guidelines,No categories identified.
- Follow our Coding Rules.,SC – Submit the changes
<major>.<minor>.<patch>,No categories identified.
"A commit is a ""breaking change"" if users should expect different behavior from an existing workflow
as a result of the change. Examples of breaking changes include deprecation of existing configs or APIs,
changing default behavior of existing configs or query semantics, or the renaming of exposed JMX metrics.
Breaking changes must be called out in commit messages, PR descriptions, and upgrade notes:",SC – Submit the changes
"To have your code integrated in the API Platform project, there are some rules to follow, but don't panic, it's easy!",No categories identified.
2.  Make your feature addition or bug fix.,SC – Submit the changes
"If your branch has more than one commit when it's approved, you will also be
asked to squash them into a single commit before it is
merged in.",SC – Submit the changes
- Thank them for their contribution.,No categories identified.
- variables and profile's variables are merged,DC – Deal with the code
- Development Setup,BW – Build local workspace
1.  Did you read the documentation?,No categories identified.
"All package.json files in this repo use a stable marker version of 0.0.0.
This means that when you declare dependencies, you should always use 0.0.0.
This makes it easier for us to bump a new version (the bump.sh script will
just update the central version and create a CHANGELOG entry) and also reduces
the chance of merge conflicts after a new version is released.",DC – Deal with the code
Contributions,No categories identified.
"Function, variable, constant, class, interface and method must be named using lowerCamelCase.
Protected or private properties and methods must not use an underscore prefix.",DC – Deal with the code
"- Fork, clone, add upstream to the dotNetty repository. See Fork a repo for more detailed instructions or follow the instructions below.",No categories identified.
2.  Go to the ~/some-path/cube.js/packages/cubejs-client-react directory and run yarn link react,BW – Build local workspace
"- If the PR is about adding a new feature, another PR for documentation is necessary in codes' PR description.",SC – Submit the changes
"When opening an issue to report a problem, please try to provide a minimal code
example that reproduces the issue along with details of the operating
system and the Python, NumPy, and astropy versions you are using.",No categories identified.
This project has adopted the Amazon Open Source Code of Conduct. For more information see the Code of Conduct FAQ or contact opensource-codeofconduct@amazon.com with any additional questions or comments.,TC – Talk to the community
"PeerTube's website is joinpeertube.org, where people can learn about the project and how it works",No categories identified.
Contribution Guidelines,No categories identified.
"mysql -e 'drop database authlogic; create database authlogic;' && \
DB=mysql BUNDLE_GEMFILE=gemfiles/rails_5.2.rb bundle exec rake",SC – Submit the changes
"- Development of Ansible-NAS is carried out in Visual Studio Code - you'll get some nice
recommended extensions and task setups if you do the same.",DC – Deal with the code
- Run ./tools/release-all.sh <version>.,SC – Submit the changes
- feat: A new feature,SC – Submit the changes
"To run the tests without linting, use rake test.",SC – Submit the changes
- Thank them for their contribution.,No categories identified.
Breaking Changes should start with the word BREAKING CHANGE: with a space or two newlines. The rest of the commit message is then used for this.,SC – Submit the changes
"To minimise such disruption to users, where a change to the interface is required, all changes to the ABI or API, even on the main development branch where new features are added, need to be justifiable by either being a significant enhancement, new feature or bug fix which is best resolved by an interface change.",No categories identified.
"[
{
""type"": ""feature|enhancement|bugfix"",
""category"": ""Target of Update"",
""description"": ""English language simple description of your update.""
}
]",SC – Submit the changes
$ git checkout contiki-orig/master -b my_new_feature,SC – Submit the changes
The dist/ folder within each module contains the packaged up language artifacts.,SC – Submit the changes
Contributing to Beast,No categories identified.
"- Review Board
For large changes. Create an account on Hue's Review Board.
Post the patch against the ""hue-rw"" repository. Enter ""hue"" in the ""groups"" field.
Example: https://review.cloudera.org/r/4019/. Blog posts about using Code Reviews and the extended process.",SC – Submit the changes
"You consider contributing changes to commitlint
Please consider these guidelines when filing a pull request:",No categories identified.
Asking Questions,TC – Talk to the community
Thanks for reading this guide and helping make MonoGame.Extended great!,No categories identified.
git push origin feature-xxx,No categories identified.
"2.  Other modifications.  These other modifications need to be
reviewed by someone else or the project lead can decide to accept
the modification.  Typically this is done by creating a branch and a
pull request so that it can be reviewed before accepting it.",SC – Submit the changes
"- PHP Version (php -v),",No categories identified.
- Any details about your local setup that might be helpful in troubleshooting.,No categories identified.
"- IMPORTANT: By submitting a patch, you agree to allow the project owner to license your work under the same license as that used by the project.",SC – Submit the changes
- grunt test run the jasmine and mocha tests,SC – Submit the changes
"Be respectful: Not all of us will agree all the time, but disagreement is no excuse for poor behavior and poor manners. We might all experience some frustration now and then, but we cannot allow that frustration to turn into a personal attack. It",TC – Talk to the community
":+1: First off, thank you for taking the time to contribute! It's people like you that make BOINC such a great tool. :+1:",No categories identified.
- Make your feature addition or bug fix.,No categories identified.
- fix: A bug fix,SC – Submit the changes
"cd citus
./configure
make
make install
cd src/test/regress
make check",BW – Build local workspace
"Found a post/issue with your exact problem, but with no answer?
Don't just leave a ""me too"" message - provide the details of your case.
Problems with more available information are easier to solve and attract good attention.",No categories identified.
"The code of the Tracker is located in MonoTorrent.Tracker. There is one sample Tracker implementation
in MonoTorrent.TrackerApp.",No categories identified.
There are a few additional environment settings that need to be set to run the compression workflow. These can be set with local.settings.json or any other way,BW – Build local workspace
"You can then consume packages from this package source, remember to check the Include prerelease box in Visual Studio when searching for the packages.",No categories identified.
- yarn bootstrap: setup project by installing all dependencies and pods.,DC – Deal with the code
"- Each and every control statement deserves its braces. This helps maintainability later on when the file is edited, lines added or removed - the control logic doesn't break so easily",DC – Deal with the code
Ensure contributions are linted and tested,SC – Submit the changes
"Thanks for wanting to contribute to Caliburn.Micro. Contributions don't need to take the form of code, submitting issues and writing documentation is just as important.",No categories identified.
"# rollback packages
$ npm run rollback <version>",SC – Submit the changes
"- Before creating a GitHub issue or pull request, try looking through the list & issue archives to make sure the issue at hand hasn't been raised before. Google can also be helpful: just typing ""cefsharp appdomain"" for example (when trying to see whether AppDomain support has been discussed before) will often give you helpful results.",SC – Submit the changes
"4.  Install Google Test, and write a test
case.",SC – Submit the changes
"More specifically, when submitting pull-requests, please avoid using:",DC – Deal with the code
"- Motivation for or Use Case - explain what are you trying to do and why the current behavior
is a bug for you",No categories identified.
"This project is open source, and as such, the maintainers give their free time to build and maintain the source code
held within. They make the code freely available in the hope that it will be of use to other developers. It would be
extremely unfair for them to suffer abuse or anger for their hard work.",No categories identified.
That's it! Thank you for your contribution!,SC – Submit the changes
Adding new Dependencies,BW – Build local workspace
What should go where,No categories identified.
Make a suggestion,No categories identified.
Contributing A Patch,No categories identified.
Code review process,SC – Submit the changes
"- If an issue is closed without a fix, because it was a duplicate, or perhaps it was invalid, then any milestone markers should be removed.",No categories identified.
- Reference issues and pull requests liberally after the first line,SC – Submit the changes
- If we suggest changes then:,SC – Submit the changes
Run all tests:,SC – Submit the changes
Rollback Packages,SC – Submit the changes
Getting and building,No categories identified.
Pull Request Checklist,SC – Submit the changes
- Help triage issues and merge pull requests.,No categories identified.
$ npm install -g grunt-cli,BW – Build local workspace
- Describe the exact steps which reproduce the problem in as many details as possible.,No categories identified.
"- Any ""creation"" event must create standards-compliant data (standards bound)",No categories identified.
2.  Clone your fork of the GitHub repository,No categories identified.
Make sure to run the necessary tests and lints and fix any errors:,No categories identified.
- no dot (.) at the end,SC – Submit the changes
Push to your fork and submit a pull request.,No categories identified.
"libui uses K&R C formatting rules for overall code structure: spaces after keywords like if, { on the same line as a statement with a space, { on its own line after a function or method signature (even those inside the class body), no space after the name of a function, etc.",DC – Deal with the code
"- To publish a package with the beta dist-tag, you can choose to release rc?beta?alpha versions, the tag will not be created.",No categories identified.
Help! I merged changes from upstream and cannot figure out how to resolve conflicts when rebasing!,No categories identified.
- options.py: the class embedding all the different options across dotdrop,DC – Deal with the code
"{
""scripts"": {
""postinstall"": ""../cdk8s/tools/link-all.sh""
}
}",BW – Build local workspace
ChaiScript Needs More Documentation,No categories identified.
- do NOT shell out; this becomes very expensive when done frequently,No categories identified.
We look forward to your contributions!,No categories identified.
git checkout master -f,SC – Submit the changes
See https://boinc.berkeley.edu/trac/wiki/CodingStyle,DC – Deal with the code
Write some code...,No categories identified.
You will need a Github application configured for local development until this dependency is refactored out of development/test.,DC – Deal with the code
"- Try to test unexpected/incorrect usage as well, instead of only the happy path",SC – Submit the changes
- All features or bug fixes must be tested by one or more specs (unit-tests).,SC – Submit the changes
"The details are explained there, but the important items are:",No categories identified.
"- If git master breaks, all other work stops and every contributor focuses exclusively on un-breaking master",SC – Submit the changes
"To get started with Aruba, you only need Bundler.",BW – Build local workspace
"Briefly: read commit by commit, a PR should tell a clean, compelling story of one improvement to Caffe. In particular:",SC – Submit the changes
"awslint is a linter for the AWS Construct Library APIs. It is executed as a
part of the build of all AWS modules in the project and enforces the AWS
Construct Library Design Guidelines.",DC – Deal with the code
"- send us a pull request, including a description of the fix (referencing an existing issue if there's one)",SC – Submit the changes
"""""""
actionCounts stores the counts of all the actions for the CommentRevision
specifically.
""""""
actionCounts: ActionCounts! @auth(roles: [MODERATOR, ADMIN])",No categories identified.
"Don't Reinvent the Wheel! There's an API and defined, easy-to-understand set of methods for a reason - use them.",DC – Deal with the code
Submitting code,SC – Submit the changes
If a pull request is untriaged:,No categories identified.
- #cnab Slack channel in the CNCF Slack org,TC – Talk to the community
3.  Fork it,No categories identified.
"Optional. The footer should contain any information about Breaking Changes and is also the place to
reference GitHub issues that this commit Closes.",SC – Submit the changes
"- Help wanted issues - issues which may be a bit more involved, but are specifically seeking community contributions",CT – Choose a task
"require('system').os.version should give ""10.8 (Mountain Lion)"".",SC – Submit the changes
- Issues and Bugs,No categories identified.
API documentation,No categories identified.
1.  Fork the project repository. Click on the,No categories identified.
General Workflow,No categories identified.
- [ ] The code is readable (too many nested 'if's are a bad sign).,No categories identified.
Asking for help,TC – Talk to the community
- Want to write a blog post or tutorial,No categories identified.
- in-progress: A milestone has previously been assigned to the issue and is now under development.,No categories identified.
- Commit messages:,SC – Submit the changes
We want this community to be friendly and respectful to each other. Please read the full text so that you can understand what actions will and will not be tolerated.,TC – Talk to the community
Reporting Bugs,No categories identified.
Imgbot uses LibGit2Sharp to perform all the git operations.,BW – Build local workspace
It is important that you maintain an up-to-date master branch in your local repository.  This is done by rebasing in the code changes from upstream/master (the official Apache Shiro project repository) into your local repository.  You will want to do this before you start working on a feature as well as right before you submit your changes as a pull request.  I recommend you do this process periodically while you work to make sure you are working off the most recent project code.,SC – Submit the changes
Want a Feature?,No categories identified.
Pull Requests,SC – Submit the changes
"Support is not offered for this library, and the likelihood that the maintainers will respond is very low. If you need help, please use stackoverflow, or the wordpress.org plugin forums.",No categories identified.
1.  Search existing issues.,No categories identified.
"If you have questions about how to use Browsersync, or about your particular setup, please
ask on Stack Overflow. We're trying to keep the Issues thread
for actual bugs with code & implementation.",TC – Talk to the community
"1.  Make your feature addition, bug fix or refactoring",SC – Submit the changes
bundle install,BW – Build local workspace
If we find a contribution in violation of copyright it will be immediately removed.  We will bar that contributor from the MonoGame.Extended project.,No categories identified.
Please follow the provided PR template when writing a description for your changes.,SC – Submit the changes
"- For Python, include it in setup.py denoting any specific restrictions and in requirements.txt pinned to a specific version which ensures that the application build is deterministic.",SC – Submit the changes
BOINC Team,No categories identified.
- Commit Message Guidelines,No categories identified.
3.  Create a new branch for your feature,SC – Submit the changes
